dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191115,211500,0.21,21.03,0,7.58,0.25,0,0,62.51,0.17,0,0,0.47,57,0,15
20191115,213000,0,20.62,0,10.02,0.33,0,0,82.68,0.23,0,0,0.46,69,0,15
20191115,214500,0.08,20.62,0,7.89,0.26,0,0,65.11,0.18,0,0,0.48,63,0,15
20191115,220000,0.6,20.13,0,7.35,0.24,0,0,60.69,0.17,0,0,0.46,66,0,15
20191115,221500,0.08,19.92,0,6.98,0.23,0,0,57.56,0.16,0,0,0.46,63,0,15
20191115,223000,0,19.95,0,6.31,0.21,0,0,52.01,0.14,0,0,0.46,63,0,15
20191115,224500,0.21,19.61,0,5.8,0.19,0,0,47.82,0.13,0,0,0.46,54,0,15
20191115,230000,0,19.53,0,6.22,0.21,0,0,51.3,0.14,0,0,0.46,66,0,15
20191115,231500,0,19.28,0,6.81,0.23,0,0,56.15,0.15,0,0,0.46,57,0,15
20191115,233000,0,18.79,0,6.51,0.22,0,0,53.68,0.15,0,0,0.45,69,0,15
20191115,234500,0,18.63,0,5.84,0.19,0,0,48.19,0.13,0,0,0.46,51,0,15
