vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.49,4.77,0.0,0.16,0.0,0.0,0.0,0.0,0.11,192600,station,-127.0,39.33,315.0,0.0,20191022.0
0.0,0.5,5.13,0.0,0.17,0.0,0.0,9.0,0.0,0.12,192700,station,-127.0,42.3,315.0,0.0,20191022.0
0.0,0.47,5.26,0.0,0.17,0.0,0.0,0.0,0.0,0.12,192800,station,-127.0,43.38,315.0,0.0,20191022.0
0.0,0.48,5.24,0.0,0.17,0.0,0.0,0.0,0.0,0.12,192900,station,-127.0,43.2,315.0,0.0,20191022.0
0.0,0.48,3.89,0.0,0.13,0.0,0.0,0.0,0.0,0.09,193000,station,-127.0,32.06,315.0,0.0,20191022.0
3.99,0.5,4.01,0.0,0.13,0.0,0.0,0.0,0.0,0.09,193100,station,-127.0,33.1,315.0,0.0,20191022.0
3.99,0.5,3.72,0.0,0.12,0.0,0.0,0.0,0.0,0.08,193200,station,-127.0,30.67,315.0,0.0,20191022.0
1.33,0.51,3.12,0.0,0.1,0.0,0.0,12.92,0.0,0.07,193300,station,-127.0,25.76,315.0,0.0,20191022.0
1.33,0.5,3.26,0.0,0.11,0.0,0.0,0.0,0.0,0.07,193400,station,-127.0,26.88,315.0,0.0,20191022.0
2.66,0.51,3.55,0.0,0.12,0.0,0.0,0.0,0.0,0.08,193500,station,-127.0,29.32,315.0,0.0,20191022.0
1.33,0.5,3.35,0.0,0.11,0.0,0.0,0.0,0.0,0.08,193600,station,-127.0,27.63,315.0,0.0,20191022.0
2.66,0.48,3.23,0.0,0.11,0.0,0.0,0.0,0.0,0.07,193700,station,-127.0,26.69,315.0,0.0,20191022.0
2.66,0.5,3.34,0.0,0.11,0.0,0.0,0.0,0.0,0.08,193800,station,-127.0,27.52,315.0,0.0,20191022.0
2.66,0.51,3.36,0.0,0.11,0.0,0.0,0.0,0.0,0.08,193900,station,-127.0,27.73,315.0,0.0,20191022.0
2.66,0.49,3.41,0.0,0.11,0.0,0.0,0.0,0.0,0.08,194000,station,-127.0,28.11,315.0,0.0,20191022.0
2.66,0.49,3.94,0.0,0.13,0.0,0.0,0.0,0.0,0.09,194100,station,-127.0,32.49,315.0,0.0,20191022.0
2.66,0.51,3.31,0.0,0.11,0.0,0.0,0.0,0.0,0.08,194200,station,-127.0,27.3,315.0,0.0,20191022.0
5.32,0.5,3.23,0.0,0.11,0.0,0.0,0.0,0.0,0.07,194300,station,-127.0,26.65,315.0,0.0,20191022.0
3.99,0.5,3.05,0.0,0.1,0.0,0.0,0.0,0.0,0.07,194400,station,-127.0,25.15,315.0,0.0,20191022.0
2.66,0.48,2.98,0.0,0.1,0.0,0.0,0.0,0.0,0.07,194500,station,-127.0,24.6,315.0,0.0,20191022.0
2.66,0.46,3.33,0.0,0.11,0.0,0.0,0.0,0.0,0.08,194600,station,-127.0,27.49,315.0,0.0,20191022.0
2.66,0.46,2.53,0.0,0.08,0.0,0.0,0.0,0.0,0.06,194700,station,-127.0,20.89,315.0,0.0,20191022.0
1.33,0.45,2.55,0.0,0.08,0.0,0.0,0.0,0.0,0.06,194800,station,-127.0,21.0,315.0,0.0,20191022.0
2.66,0.46,2.83,0.0,0.09,0.0,0.0,0.0,0.0,0.06,194900,station,-127.0,23.36,315.0,0.0,20191022.0
0.0,0.45,3.3,0.0,0.11,0.0,0.0,0.0,0.0,0.07,195000,station,-127.0,27.23,315.0,0.0,20191022.0
0.0,0.46,3.59,0.0,0.12,0.0,0.0,0.0,0.0,0.08,195100,station,-127.0,29.64,315.0,0.0,20191022.0
1.33,0.45,3.07,0.0,0.1,0.0,0.0,0.0,0.0,0.07,195200,station,-127.0,25.32,315.0,0.0,20191022.0
2.66,0.45,3.14,0.0,0.1,0.0,0.0,0.0,0.0,0.07,195300,station,-127.0,25.87,315.0,0.0,20191022.0
0.0,0.46,2.86,0.0,0.1,0.0,0.0,0.0,0.0,0.06,195400,station,-127.0,23.62,315.0,0.0,20191022.0
0.0,0.45,3.42,0.0,0.11,0.0,0.0,0.0,0.0,0.08,195500,station,-127.0,28.2,315.0,0.0,20191022.0
2.66,0.46,3.18,0.0,0.11,0.0,0.0,0.0,0.0,0.07,195600,station,-127.0,26.22,315.0,0.0,20191022.0
2.66,0.45,3.17,0.0,0.11,0.0,0.0,0.0,0.0,0.07,195700,station,-127.0,26.15,315.0,0.0,20191022.0
1.33,0.46,3.21,0.0,0.11,0.0,0.0,0.0,0.0,0.07,195800,station,-127.0,26.48,315.0,0.0,20191022.0
0.0,0.46,3.03,0.0,0.1,0.0,0.0,0.0,0.0,0.07,195900,station,-127.0,24.96,315.0,0.0,20191022.0
0.0,0.47,3.78,0.0,0.13,0.0,0.0,0.0,0.0,0.09,200000,station,-127.0,31.17,315.0,0.0,20191022.0
1.33,0.46,3.31,0.0,0.11,0.0,0.0,0.0,0.0,0.08,200100,station,-127.0,27.3,315.0,0.0,20191022.0
