rainfall,tamanho_medio,vento_vel,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.75,18.62,0.46,6.25,0.21,0.0,0.0,0.0,0.0,0.14,182700,station,28.31,51.59,90.0,0.0,20191003.0
0.75,13.3,0.47,4.98,0.17,0.0,0.0,0.0,0.0,0.11,182800,station,28.25,41.08,90.0,0.0,20191003.0
0.75,10.64,0.45,5.24,0.17,0.0,0.0,0.0,0.0,0.12,182900,station,28.19,43.19,90.0,0.0,20191003.0
0.75,5.32,0.47,5.13,0.17,0.0,0.0,0.0,0.0,0.12,183000,station,28.12,42.34,90.0,0.0,20191003.0
0.75,2.66,0.48,5.29,0.18,0.0,0.0,0.0,0.0,0.12,183100,station,28.0,43.67,135.0,0.0,20191003.0
0.75,10.64,0.48,4.67,0.16,0.0,0.0,0.0,0.0,0.11,183200,station,28.06,38.53,90.0,0.0,20191003.0
0.75,17.29,0.47,4.51,0.15,0.0,0.0,0.0,0.0,0.1,183300,station,28.25,37.17,90.0,0.0,20191003.0
0.75,10.64,0.48,4.52,0.15,0.0,0.0,0.0,0.0,0.1,183400,station,28.0,37.31,90.0,0.0,20191003.0
0.75,11.97,0.46,4.87,0.16,0.0,0.0,0.0,0.0,0.11,183500,station,28.19,40.17,45.0,0.0,20191003.0
0.75,13.3,0.45,4.32,0.14,0.0,0.0,0.0,0.0,0.1,183600,station,28.12,35.67,90.0,0.0,20191003.0
0.75,15.96,0.45,4.01,0.13,0.0,0.0,0.0,0.0,0.09,183700,station,27.94,33.1,45.0,0.0,20191003.0
0.75,15.96,0.46,4.52,0.15,0.0,0.0,0.0,0.0,0.1,183800,station,28.0,37.27,45.0,0.0,20191003.0
0.75,13.3,0.45,4.5,0.15,0.0,0.0,0.0,0.0,0.1,183900,station,28.12,37.12,45.0,0.0,20191003.0
0.75,10.64,0.48,4.47,0.15,0.0,0.0,0.0,0.0,0.1,184000,station,28.0,36.87,90.0,0.0,20191003.0
0.75,23.94,0.48,4.25,0.14,0.0,0.0,0.0,0.0,0.1,184100,station,27.94,35.03,90.0,0.0,20191003.0
0.75,15.96,0.47,4.43,0.15,0.0,0.0,0.0,0.0,0.1,184200,station,27.94,36.51,90.0,0.0,20191003.0
0.75,15.96,0.48,4.27,0.14,0.0,0.0,0.0,0.0,0.1,184300,station,27.81,35.2,90.0,0.0,20191003.0
0.75,13.3,0.47,3.92,0.13,0.0,0.0,0.0,0.0,0.09,184400,station,27.81,32.31,45.0,0.0,20191003.0
0.75,18.62,0.48,4.23,0.14,0.0,0.0,0.0,0.0,0.1,184500,station,27.69,34.88,90.0,0.0,20191003.0
0.75,18.62,0.49,4.05,0.13,0.0,0.0,0.0,0.0,0.09,184600,station,27.81,33.44,90.0,0.0,20191003.0
0.75,6.65,0.47,4.14,0.14,0.0,0.0,0.0,0.0,0.09,184700,station,27.69,34.14,90.0,0.0,20191003.0
0.75,13.3,0.46,4.35,0.14,0.0,0.0,0.0,0.0,0.1,184800,station,27.75,35.87,45.0,0.0,20191003.0
0.75,7.98,0.46,3.36,0.11,0.0,0.0,0.0,0.0,0.08,184900,station,27.69,27.76,45.0,0.0,20191003.0
0.75,15.96,0.47,4.52,0.15,0.0,0.0,0.0,0.0,0.1,185000,station,27.62,37.33,45.0,0.0,20191003.0
0.75,9.31,0.48,3.6,0.12,0.0,0.0,0.0,0.0,0.08,185100,station,27.62,29.67,90.0,0.0,20191003.0
0.75,15.96,0.46,3.79,0.13,0.0,0.0,0.0,0.0,0.09,185200,station,27.69,31.28,90.0,0.0,20191003.0
0.75,13.3,0.48,4.0,0.13,0.0,0.0,0.0,0.0,0.09,185300,station,27.62,32.96,90.0,0.0,20191003.0
0.75,27.93,0.48,3.46,0.12,0.0,0.0,0.0,0.0,0.08,185400,station,27.75,28.58,90.0,0.0,20191003.0
0.75,5.32,0.46,4.25,0.14,0.0,0.0,0.0,0.0,0.1,185500,station,27.56,35.03,135.0,0.0,20191003.0
0.75,13.3,0.45,3.6,0.12,0.0,0.0,0.0,0.0,0.08,185600,station,27.56,29.67,90.0,0.0,20191003.0
0.75,15.96,0.46,4.15,0.14,0.0,0.0,0.0,0.0,0.09,185700,station,27.69,34.26,45.0,0.0,20191003.0
0.75,10.64,0.44,4.38,0.15,0.0,0.0,0.0,0.0,0.1,185800,station,27.5,36.11,90.0,0.0,20191003.0
0.75,11.97,0.45,3.93,0.13,0.0,0.0,0.0,0.0,0.09,185900,station,27.5,32.41,90.0,0.0,20191003.0
0.75,11.97,0.42,4.38,0.15,0.0,0.0,0.0,0.0,0.1,190000,station,27.44,36.18,90.0,0.0,20191003.0
0.75,14.63,0.43,4.67,0.16,0.0,0.0,0.0,0.0,0.11,190100,station,27.44,38.57,90.0,0.0,20191003.0
