Dia,RL_Res_Min,RL_Res_1Q,RL_Res_Mdn,RL_Res_3Q,RegLin_Max,CoefEst_Intercept,CoefEst_irr_est,CoefEst_temp,CoefEst_numPM1,CoefEst_massaPM1,CoefEst_numPM2,CoefEst_massaPM2,CoefStdError_Intercept,CoefStdError_irr_est,CoefStdError_temp,CoefStdError_numPM1,CoefStdError_massaPM1,CoefStdError_numPM2,CoefStdError_massaPM2,CoefPValue_Intercept,CoefPValue_irr_est,CoefPValue_temp,CoefPValue_numPM1,CoefPValue_massaPM1,CoefPValue_numPM2,CoefPValue_massaPM2,R2,R2_ajust,Graus_Lib,Err_res_pad
20191028,-1324.5442645198,-227.43863344418048,-78.35465843283212,70.23149253779738,4850.9911949001435,-4.1433076727052285,7.789006209930567,2.0679360266826277,1744.6452146235763,-14456.336273681516,-52.000569910401644,2036.9743801997358,188.06451903246054,0.0916135576845704,1.2550535549531263,1061.412737656246,8803.241039306302,5980.567994244805,6361.566862570141,0.9824319302345861,6.738717581364791e-296,0.10005656646515464,0.10087809878915724,0.10119697810101015,0.9930660752877881,0.7489528585927031,0.9593506754947158,0.9583572093153605,491,541.9622131460171
20191029,-1300.0239576482497,-223.60167718725913,-78.74680650090878,67.77075932662949,4880.30113615396,0.6605752255026286,7.788556782557757,2.0510247569481312,1643.763725364291,-13620.207032944076,56.221878224951624,1816.3632783247976,183.56649400040502,0.08796265800722977,1.229132589940503,1010.8884504409253,8383.287790332704,5740.442934696031,6083.401997007728,0.9971301634109037,8.880510706e-314,0.09578927742577607,0.10454893334130437,0.104841377850723,0.9921894389981645,0.7653833296886651,0.9611028205423956,0.9601964784967815,515,531.8316913696052
20191030,-1269.8811474893162,-220.145558544359,-78.03651147917674,67.40417468033071,4889.588240757301,-26.897491396382215,7.7732764080257635,1.9651534751626039,1704.6161882831877,-14121.289248739813,313.463154202481,1664.280825890956,178.62200369241606,0.08388702980732071,1.204941130931599,965.7485933192122,8008.308433075225,5535.920296986848,5853.522483522336,0.8803607682076402,0,0.10349293753286633,0.07811782407403306,0.0784114330455464,0.9548661020546472,0.7762733975231648,0.963061380682291,0.9622389995472028,539,522.9249385279684
20191031,-1258.5646240203214,-212.50981770843126,-70.72099253136255,71.25758795776865,4934.5913858489475,-41.113018251619906,7.7858627786458054,1.833143886905769,1664.2394059956598,-13775.23135807702,1222.961562201284,694.8958607847296,175.62813614865894,0.07903906538238852,1.1856421957909675,923.8089021407206,7660.1932601520875,5355.622037851388,5656.0978342292765,0.8149992013321476,0,0.12263773560495767,0.07215939722701141,0.07266699411025784,0.8194563056116507,0.902263529238275,0.9643167337996955,0.9635561668469359,563,516.7797253829141
20191101,-1254.759507866447,-206.98411184844923,-68.79963155978237,68.4093163704504,4954.976295760546,-55.24706548500433,7.798127764139061,1.765470488071976,1583.5956826303832,-13101.671553191078,1506.9252576677259,292.64437028086195,171.6103849360133,0.07512508210067262,1.1624937738400483,890.2616568053795,7382.2391257065265,5132.971713907545,5428.354371343098,0.747617978645291,0,0.12937832398260052,0.07579031537487205,0.07645640282433282,0.7691844991060769,0.9570249494092381,0.9659756678248308,0.9652801107786604,587,508.2400637414724
20191102,-1218.2148681495355,-206.58879224973373,-62.6969696554234,67.54388957656928,4950.635730725707,-70.41458726639537,7.760698765240019,1.7116483594734497,1740.0773540702403,-14392.448695576892,2040.9081048352355,-45.9283046259477,162.47570008946676,0.07286250719695109,1.1491156230559592,862.5274499119685,7153.069645711487,4994.0630609102755,5299.315657974673,0.6648878048593707,0,0.13686243488458638,0.044088776745793146,0.044651393747922916,0.68292734271639,0.9930877801552236,0.9665480216816407,0.9658910270174503,611,504.10427937925857
20191103,-1182.022747798209,-201.162672134785,-59.201151306900044,77.29839084287468,5013.0675323022115,-12.68163608070073,7.734703720571924,1.969326182976377,1625.6116761294659,-13467.343086422901,1266.062314786481,705.8296789451038,157.4498448229428,0.070536566693101585,1.1264292236792413,839.7691621765977,6963.65891895894,4847.25736159784,5127.700605070156,0.9358300020046522,0,0.08089688412188903,0.05333769764622623,0.05356373872495043,0.7940295376994699,0.8905604116636381,0.9674387010792163,0.9668233694460676,635,498.4299370168833
20191104,-1141.7532731624806,-200.38270250355444,-59.646128791281775,64.64961859213261,5055.394241311316,-37.813474870023576,7.714707781684064,1.950735640676717,1726.7346396403257,-14303.185022181293,1720.8377946167575,447.4905442465286,152.68749876767475,0.06910679977487456,1.108589412519761,815.0480785648023,6759.134167028014,4700.8298581874415,4990.323277151109,0.8044802547427182,0,0.07893015993056544,0.034500575429960545,0.03470838501616752,0.7144295332946224,0.928575387447522,0.968157565271121,0.9675777333792446,659,494.1369692754702
20191105,-1097.3208273645164,-200.4088985084512,-61.953154815833024,58.709151847060355,5112.516242105075,-37.58341626129429,7.7124791230366965,1.7950780515590676,1564.0551671913022,-12949.742179880128,2263.786190526766,-259.4184877870809,149.88428543256802,0.06768992690312368,1.0916042740192995,794.3224408959055,6587.248044297925,4591.293116144876,4873.949656406698,0.8020831660974272,0,0.10054544243815354,0.04935199066176378,0.049717105292320506,0.6221281818075068,0.9575677889127591,0.968620975418178,0.9680696601985853,683,491.16776430856436
20191106,-1097.0167279374198,-194.6182843489428,-58.885429424726034,61.14509042247402,5121.980506695483,-37.90929633184146,7.729043058621568,1.7423942586587884,1540.0666753025384,-12756.154903745946,1419.8819872971733,445.04097629218336,147.49048962725828,0.06599464860759544,1.0743393498743188,765.6727759418909,6349.568530633756,4448.791198719614,4734.9149488151315,0.797231360752999,0,0.10528589092720071,0.044663293997205325,0.04491895747235831,0.7496984756833991,0.925142670164375,0.9690619887785896,0.9685368740195275,707,484.24573417557133
