dia_mes_ano,m,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n
20191019,3,104500,299.6533333333333,7.272,0.242,0,0,59.982,0.16466666666666668,0,0,0.41666666666666663,34.288,144,3.192,15
20191019,0,110000,255.75933333333333,7.726666666666667,0.258,0,0,63.738,0.17400000000000002,0,0,0.438,33.77666666666667,216,9.664666666666667,15
20191019,1,111500,193.35866666666666,7.061333333333334,0.23533333333333334,0,0,58.263999999999996,0.16,0,0,0.42666666666666664,33.07,195,7.182,15
20191019,2,113000,48.058,9.113333333333333,0.30333333333333334,0,0,75.18866666666666,0.208,0,0,0.43,30.082666666666665,177,9.842,15
20191019,3,114500,1.164,11.300666666666666,0.37666666666666665,0,0,93.24066666666667,0.25666666666666665,0,0,0.46199999999999997,22.242,27,22.432666666666666,15
20191019,0,120000,0.728,8.838666666666667,0.29533333333333334,0,0,72.91533333333334,0.19933333333333333,0,0,0.47933333333333333,19.588,96,25.27,15
20191019,1,121500,1.8126666666666666,4.395333333333333,0.26866666666666666,0.092,0.014666666666666666,36.08866666666667,0.22933333333333333,0.016666666666666666,0.0026666666666666666,0.5206666666666667,18.057333333333332,141,33.33866666666667,15
20191019,2,123000,2.7763636363636364,9.49090909090909,0.31545454545454543,0,0,78.30363636363636,0.21636363636363637,0,0,0.47363636363636363,17.987272727272728,204.54545454545453,21.884545454545453,11
20191019,3,124600,15.610714285714286,9.018571428571429,0.3,0,0,74.39214285714286,0.20500000000000002,0,0,0.4592857142857143,18.354285714285712,170.35714285714286,20.615000000000002,14
20191019,0,130000,31.663333333333334,5.43,0.18,0,0,44.78,0.12333333333333334,0,0,0.4633333333333333,18.44,165,16.846666666666668,3
20191019,1,131500,40.52133333333333,4.128,0.138,0,0,34.054,0.094,0,0,0.442,18.887333333333334,90,6.738666666666667,15
20191019,2,133000,43.96,4.391333333333334,0.14666666666666667,0,0,36.233333333333334,0.09933333333333333,0,0,0.448,19.258666666666667,24,4.1673333333333336,15
