dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200402,102800,7767,35,15.93,221.9,498,988
20200402,102900,7797,35.07,15.77,222.3,499.7,991
20200402,103000,7754,34.84,15.88,222.3,500,988
20200402,103100,7755,34.87,15.78,222.4,497,989
20200402,103200,7725,34.77,15.93,222.1,496.6,986
20200402,103300,7746,34.85,15.98,222.2,494.7,991
20200402,103400,7701,34.61,15.79,222.5,495.9,984
20200402,103500,7689,34.57,15.72,222.3,498.5,983
20200402,103600,7677,34.54,15.73,222.2,493.7,983
20200402,103700,7656,34.53,15.68,221.9,494,983
20200402,103800,7711,34.7,15.92,222.1,495.6,989
20200402,103900,7728,34.78,15.81,222.1,495.4,994
20200402,104000,7812,35.15,16.16,222.2,496.6,1001
20200402,104100,7929,35.69,16.37,222.1,493.7,1013
20200402,104200,8046,36.2,16.43,222.1,495.6,1029
20200402,104300,7823,35.18,15.99,222.3,497.6,1013
20200402,104400,972,4.59,2.12,214.3,477.1,127
20200402,104500,1110,5.23,2.36,214.5,492.5,143
20200402,104600,2124,20.67,11.34,218.4,522,202
20200402,104700,8282,37.14,15.7,222.8,535.3,1035
20200402,104800,8211,36.88,16.35,222.6,510.5,1016
20200402,104900,8223,36.92,16.42,222.7,510.4,1024
20200402,105000,8277,37.19,15.66,222.5,536,1047
20200402,105100,8130,36.54,15.83,222.5,523.2,925
20200402,105200,8274,37.09,15.99,222.8,526.6,1059
20200402,105300,8211,36.85,16.06,222.8,520.3,1041
20200402,105400,8169,31.02,17.18,221.5,411.9,1032
20200402,105500,8265,37.08,16.7,223,504.1,1041
20200402,105600,8277,37.1,16.48,223,510.1,1047
20200402,105700,8278,37.1,16.39,223,513.4,1047
20200402,105800,8268,37.08,16.74,222.9,503.7,1039
20200402,105900,8214,36.87,16.71,222.7,500.7,1035
20200402,110000,8148,36.43,16,222.8,512.1,1032
20200402,110100,8087,36.22,16.6,223,496,1027
20200402,110200,8070,36.18,16.43,223.1,502,1024
20200402,110300,8034,35.97,16.35,223.2,497.2,1023
20200402,110400,8073,36.21,16.75,223,489.7,1032
20200402,110500,8085,36.26,16.62,222.9,495.1,1033
20200402,110600,8108,36.35,16.95,223,487,1042
20200402,110700,7671,34.47,15.43,222.4,506.8,1007
20200402,110800,8193,36.67,16.81,223.3,496,1053
20200402,110900,8232,36.86,16.93,223.3,495.6,1061
20200402,111000,8277,37.07,16.22,223.2,518.9,1091
20200402,111100,4311,18.7,10.05,218.2,480.9,1079
20200402,111200,3921,18.93,10.31,218.4,500.5,348
20200402,111300,1401,6.51,2.93,215.4,490.5,178
20200402,111400,1268,5.9,2.59,215.2,500.3,158
20200402,111500,1109,5.16,2.28,215,504,137
20200402,111600,1065,4.98,2.17,214.7,504.6,129
20200402,111700,1125,5.24,2.25,214.7,512,133
20200402,111800,1368,6.38,2.74,215.3,515.2,181
20200402,111900,8277,37.11,14.45,223,583.6,1109
20200402,112000,8211,36.78,14.49,223.2,572.7,1083
20200402,112100,8280,37.1,15.02,223.2,562,1080
20200402,112200,8277,37.07,15.17,223.3,554.3,1079
20200402,112300,8279,37.1,15.38,223.1,547.4,1079
20200402,112400,8278,37.08,15.54,223.2,542.7,1082
20200402,112500,8265,37.01,15.59,223.3,538.9,1085
20200402,112600,8277,37.07,15.81,223.2,534.4,1083
20200402,112700,8277,37.12,15.81,222.9,533.9,1094
20200402,112800,8278,37.11,15.78,223,534.7,1109
20200402,112900,8278,37.07,15.69,223.2,536.5,1132
20200402,113000,8279,37.07,15.62,223.3,537.8,1152
20200402,113100,8277,37.06,15.71,223.3,537.8,1164
20200402,113200,8277,37.07,15.86,223.2,531.6,1144
20200402,113300,8278,37.08,15.79,223.2,533.6,1163
20200402,113400,8277,37.05,15.85,223.3,532.7,1166
20200402,113500,8277,37.04,15.96,223.4,527.7,1147
20200402,113600,8277,37.05,15.97,223.3,528.8,1147
20200402,113700,8277,37.09,16,223,528.2,1147
20200402,113800,8277,37.11,15.87,222.9,530.1,1158
20200402,113900,8276,37.06,15.98,223.2,529.6,1166
20200402,114000,8277,37.09,15.9,223.2,530.6,1170
20200402,114100,1620,7.44,3.46,215.6,474.4,228
20200402,114200,1983,8.94,3.95,215.8,491.2,242
20200402,114300,1692,7.86,3.46,215.4,498.2,210
20200402,114400,2427,11.22,4.84,216.4,509.6,309
20200402,114500,8277,37.08,14.96,223.1,565.8,1115
20200402,114600,8276,37.07,15.07,223.1,558.9,1118
20200402,114700,8276,37.12,15.16,222.9,554.9,1125
20200402,114800,8277,37.11,15.18,222.9,553.6,1134
20200402,114900,4887,23.38,9.91,219.7,523.2,893
20200402,115000,8277,37.04,15.28,223.3,550.9,1138
20200402,115100,8277,37.04,15.47,223.4,544.5,1132
20200402,115200,8277,37.07,15.63,223.2,538.8,1132
20200402,115300,8277,37.07,15.81,223.2,532.6,1126
20200402,115400,8277,37.02,15.84,223.5,531.8,1137
20200402,115500,8275,37.05,16.07,223.3,525,1128
20200402,115600,7458,29.22,12.32,221.5,498.4,1082
20200402,115700,8277,37.07,15.85,223.2,532.9,1146
20200402,115800,8277,37.06,15.89,223.3,531.2,1103
20200402,115900,8277,37.03,16.05,223.4,523.2,1126
20200402,120000,8274,37.01,16.16,223.5,522.1,1129
20200402,120100,8274,37.02,16.13,223.5,523.1,1131
20200402,120200,8278,37.07,16.2,223.3,520.7,1123
20200402,120300,8274,37.07,16.25,223.2,519,1118
20200402,120400,8277,37.02,16.17,223.4,520.3,1125
20200402,120500,4524,15.41,5.64,217.5,484.3,604
20200402,120600,2534,8.75,3.81,215.8,481.4,809
20200402,120700,2231,10.33,4.19,216,509.3,345
20200402,120800,7374,34.34,14.78,222.2,527.7,978
20200402,120900,8279,37.17,15.7,222.7,535.3,1115
20200402,121000,7752,34.82,14.25,222.6,521.8,1091
20200402,121100,8190,36.7,16.25,223.1,513.4,1065
20200402,121200,8172,36.64,16.87,223.2,494.8,1058
