tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,6765,13.24,799,30.76,219.8,20191003,519.3,90500
inverter,6816,13.25,803,31,219.8,20191003,522.9,90600
inverter,6825,13.32,806,31,219.9,20191003,518.4,90700
inverter,6831,13.3,808,31.44,217.2,20191003,518.3,90800
inverter,6809,13.33,806,31.63,215.2,20191003,523.3,90900
inverter,6849,13.3,812,31.91,214.7,20191003,519.5,91000
inverter,6841,13.48,814,31.88,214.5,20191003,513.9,91100
inverter,6869,13.54,817,31.38,218.8,20191003,518,91200
inverter,6876,13.5,819,31.4,218.9,20191003,514,91300
inverter,6888,13.61,819,31.46,218.9,20191003,517.1,91400
inverter,6906,13.55,820,32.23,214.3,20191003,515.9,91500
inverter,6900,13.55,822,32.24,214.2,20191003,516.8,91600
inverter,6921,13.69,825,32.27,214.4,20191003,514,91700
inverter,6939,13.67,828,31.75,218.7,20191003,518.2,91800
inverter,6999,13.76,837,31.99,218.7,20191003,515.1,91900
inverter,7005,13.78,838,32.02,218.8,20191003,516.2,92000
inverter,7026,13.93,843,32.5,216.4,20191003,513.2,92100
inverter,7038,13.87,844,32.82,214.3,20191003,517.2,92200
inverter,7054,14.11,849,32.88,214.5,20191003,509.6,92300
inverter,7041,13.97,844,32.47,216.8,20191003,516.7,92400
inverter,7086,14.06,847,32.46,218.4,20191003,516.3,92500
inverter,7143,14.03,854,32.75,218.1,20191003,515,92600
inverter,7155,14.19,854,33.23,215.3,20191003,514.5,92700
inverter,7180,14.24,855,33.62,213.5,20191003,516.4,92800
inverter,6213,12.73,861,28.52,212.3,20191003,480.4,92900
inverter,7228,14.32,863,33.76,214.1,20191003,511.7,93000
inverter,7257,14.38,867,33.59,216,20191003,515.5,93100
inverter,7242,14.25,867,33.55,215.9,20191003,512.4,93200
inverter,7266,14.43,872,33.67,215.8,20191003,514.5,93300
inverter,7266,14.32,872,33.39,217.5,20191003,513.8,93400
inverter,7271,14.34,873,33.42,217.5,20191003,513.2,93500
inverter,7293,14.37,876,33.54,217.3,20191003,515.8,93600
inverter,7293,14.63,878,33.66,216.6,20191003,509.3,93700
inverter,7311,14.55,881,33.74,216.7,20191003,508.8,93800
inverter,7359,14.76,886,33.9,216.8,20191003,507.6,93900
inverter,7383,14.83,890,33.62,219.5,20191003,509.4,94000
inverter,7431,14.79,895,34.39,216.2,20191003,511.7,94100
inverter,7452,14.97,898,34.39,216.7,20191003,508.2,94200
inverter,7440,14.93,896,34.73,214.2,20191003,509.7,94300
inverter,7440,14.95,898,34.22,217.4,20191003,506.6,94400
inverter,7431,14.83,899,34.26,216.9,20191003,510.9,94500
inverter,7420,14.84,901,34.23,216.7,20191003,506.6,94600
