dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200319,014000,0,7.12,0.24,58.72,0.16,0.49,23.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014100,0,7.18,0.24,59.21,0.16,0.48,23.88,225,5.32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014200,0,7.43,0.25,61.3,0.17,0.47,24,180,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014300,0,7.73,0.26,63.75,0.18,0.5,24.06,225,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014400,0,6.96,0.23,57.45,0.16,0.52,24.12,225,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014500,0,7.92,0.26,65.31,0.18,0.5,24,225,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014600,0,7.83,0.26,64.56,0.18,0.51,24.12,225,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014700,0,8.01,0.27,66.1,0.18,0.52,23.94,225,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014800,0,7.27,0.24,59.97,0.16,0.5,23.88,225,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,014900,0,6.99,0.23,57.69,0.16,0.49,24,225,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015000,0,6.63,0.22,54.73,0.15,0.51,23.94,225,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015100,0,6.71,0.22,55.39,0.15,0.5,23.81,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015200,0,7,0.23,57.76,0.16,0.5,23.75,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015300,0,6.84,0.23,56.44,0.16,0.51,23.69,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015400,0,6.55,0.22,54.05,0.15,0.5,23.62,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015500,0,7.27,0.24,59.94,0.16,0.51,23.44,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015600,0,6.96,0.23,57.43,0.16,0.51,23.25,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015700,0,6.91,0.23,57.03,0.16,0.5,23.12,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015800,0,6.8,0.23,56.11,0.15,0.5,23,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,015900,0,6.47,0.22,53.4,0.15,0.5,23.12,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020000,0,6.84,0.23,56.42,0.16,0.51,23.12,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020100,0,6.51,0.22,53.72,0.15,0.51,23.06,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020200,0,7.09,0.24,58.5,0.16,0.5,23.19,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020300,0,7.05,0.23,58.16,0.16,0.48,23.19,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020400,0,7.11,0.24,58.68,0.16,0.49,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020500,0,6.69,0.22,55.19,0.15,0.51,23.06,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020600,0,6.35,0.21,52.37,0.14,0.52,23.19,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020700,0,6.53,0.22,53.89,0.15,0.52,23.19,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020800,0,7.25,0.24,59.85,0.16,0.5,23.19,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,020900,0,6.39,0.21,52.75,0.14,0.51,23.06,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021000,0,5.9,0.2,48.64,0.13,0.52,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021100,0,6.39,0.21,52.74,0.14,0.52,22.94,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021200,0,6.76,0.22,55.74,0.15,0.5,22.75,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021300,0,6.4,0.21,52.79,0.15,0.51,23.06,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021400,0,6.79,0.23,55.99,0.15,0.5,22.88,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021500,0,6.61,0.22,54.52,0.15,0.5,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021600,0,7.03,0.23,58.02,0.16,0.49,22.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,021700,0,6.79,0.23,56.04,0.15,0.49,23,225,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
