"","dia","Vd1","Pd","Nloss","Vd2","m","x_gauss"
"33",20191106,0.0210080637228329,3.567e-05,5.3505e-07,0.0210144761622916,0.361446771527465,0.0625629838017239
"34",20191107,0.0210515470994442,3.661e-05,5.4915e-07,0.0210579595389029,0.37131348403047,0.0645132237611223
"35",20191108,0.0210851404934119,3.744e-05,5.616e-07,0.0210915529328706,0.380014242919078,0.0664204636740407
"36",20191109,0.0211165274952216,3.818e-05,5.727e-07,0.0211229399346804,0.387824516438919,0.0683006328716096
"37",20191110,0.0211424740851371,3.865e-05,5.7975e-07,0.0211488865245958,0.392875570302128,0.0701330420251708
"38",20191111,0.021160261318154,3.919e-05,5.8785e-07,0.0211666737576127,0.398590607406267,0.0719145349739291
"39",20191112,0.0211795236281377,3.961e-05,5.9415e-07,0.0211859360675964,0.403157922640784,0.0736683391865545
"40",20191113,0.0212003311653526,4.023e-05,6.0345e-07,0.0212067436048113,0.409656597569593,0.0754049785312127
"41",20191114,0.0212083101427372,4.063e-05,6.0945e-07,0.0212147225821959,0.414020958764209,0.0770738989806375
"42",20191115,0.0212098573762391,4.11e-05,6.165e-07,0.0212162698156978,0.418997028116959,0.0786973089321739
"43",20191116,0.0212049389641702,4.192e-05,6.288e-07,0.0212113514036289,0.42752822094857,0.0802896843890117
"44",20191117,0.0212000028327708,4.265e-05,6.3975e-07,0.0212064152722295,0.435253838714616,0.0818682427118923
"45",20191118,0.0212024060838661,4.325e-05,6.4875e-07,0.0212088185233248,0.441558170839227,0.0834522446498403
"46",20191119,0.0212049139984076,4.385e-05,6.5775e-07,0.0212113264378663,0.447884295289519,0.0850194223599838
"47",20191120,0.0212047489697,4.444e-05,6.666e-07,0.0212111614091588,0.454132040255928,0.0865608971120191
"48",20191121,0.0212012675582905,4.534e-05,6.801e-07,0.0212076799977493,0.463510194330692,0.0880857008460038
"49",20191122,0.0211996973150319,4.607e-05,6.9105e-07,0.0212061097544907,0.471146583266628,0.0896060616395496
"50",20191123,0.0212001773317811,4.687e-05,7.0305e-07,0.0212065897712398,0.479533162558076,0.0911255744913331
"51",20191124,0.0212026225058266,4.788e-05,7.182e-07,0.0212090349452853,0.490002253324531,0.0926511202417949
"52",20191125,0.0212118494445922,4.839e-05,7.2585e-07,0.021218261884051,0.495442881717947,0.0941848104692738
"53",20191126,0.0212268260140345,4.867e-05,7.3005e-07,0.0212332384534932,0.49841265124826,0.0957166006345041
"54",20191127,0.0212397894384461,4.906e-05,7.359e-07,0.0212462018779048,0.502578618559667,0.0972221398385051
"55",20191128,0.0212464157208241,4.932e-05,7.398e-07,0.0212528281602828,0.505379657590643,0.0986812695843592
"56",20191129,0.0212473955697928,4.963e-05,7.4445e-07,0.0212538080092516,0.508766330161976,0.100098644983484
"57",20191130,0.0212447055679514,5.004e-05,7.506e-07,0.0212511180074101,0.513067313882044,0.10148491886692
"58",20191201,0.0212375796403867,5.098e-05,7.647e-07,0.0212439920798454,0.522973061264554,0.10285276301606
"59",20191203,0.0212272047521451,5.259e-05,7.8885e-07,0.0212336171916038,0.540447110037399,0.105672677860325
"60",20191204,0.0212132453236054,5.327e-05,7.9905e-07,0.0212196577630641,0.547622037697304,0.106994303250594
"61",20191207,0.0211952482410819,5.574e-05,8.361e-07,0.0212016606805406,0.57336050527157,0.111199095675411
"62",20191208,0.0211743243086959,5.648e-05,8.472e-07,0.0211807367481546,0.581082830240654,0.112467328011106
"63",20191209,0.0211493555689247,5.709e-05,8.5635e-07,0.0211557680083834,0.587495167926469,0.113707856628005
"64",20191210,0.0211201982851633,5.857e-05,8.7855e-07,0.021126610724622,0.602850455789548,0.114941846121228
"65",20191211,0.0210895552657016,5.912e-05,8.868e-07,0.0210959677051604,0.608594792514486,0.116157530200022
"66",20191218,0.0210572966773702,6.435e-05,9.6525e-07,0.021063709116829,0.663261090083827,0.12581467060422
"67",20191219,0.0210274281074753,6.435e-05,9.6525e-07,0.0210338405469341,0.663406670290424,0.126957677681652
"68",20191220,0.0210044787309355,6.444e-05,9.666e-07,0.0210108911703942,0.664494243666719,0.128115996312112
"69",20191221,0.0209818838598911,6.484e-05,9.726e-07,0.0209882962993498,0.668735908865751,0.129264083183856
"70",20191222,0.0209575038078953,6.503e-05,9.7545e-07,0.0209639162473541,0.670743069298325,0.13038629178645
"71",20191223,0.0209348316149046,6.533e-05,9.7995e-07,0.0209412440543633,0.673976159175245,0.131503958351679
"72",20191224,0.0209134027081949,6.575e-05,9.8625e-07,0.0209198151476536,0.678418158201916,0.132617712684722
"73",20191225,0.0208991986968971,6.586e-05,9.879e-07,0.0209056111363558,0.67963868781937,0.133753226979935
"74",20191226,0.0208887331808368,6.589e-05,9.8835e-07,0.0208951456202955,0.680008856794845,0.134891007293759
