dia,Vd1,Pd,Nloss,Vd2,m,x_gauss
NA,NA,NA,NA,NA,NA,NA
20200302,0.020946848243072618,9.94e-5,1.491e-6,0.020953260682531342,1.2742614488826294,0.20875384621861687
20200303,0.02095941143846466,9.956e-5,1.4934e-6,0.020965823877923385,1.2814144539689292,0.20974631283994966
20200304,0.02097231077041113,1.0011e-4,1.50165e-6,0.020978723209869855,1.2885881058458049,0.21074079489478573
20200305,0.02098501578238144,1.0065e-4,1.5097499999999998e-6,0.020991428221840164,1.295750292872776,0.21173284455610947
20200306,0.020997749642922208,1.0115e-4,1.51725e-6,0.021004162082380932,1.3029108224894133,0.21272382795453734
20200307,0.021010373517027656,1.0168e-4,1.5252e-6,0.02101678595648638,1.3100636742430558,0.2137129188111611
20200308,0.02102265674240284,1.0245e-4,1.53675e-6,0.021029069181861565,1.3172142825412287,0.2147008755354341
20200309,0.021035336393429346,1.0338e-4,1.5507e-6,0.02104174883288807,1.3244212135446456,0.21569578572018513
20200310,0.021048080141806168,1.0435e-4,1.56525e-6,0.02105449258126489,1.3316667706094567,0.21669519519164243
20200311,0.021060817608674905,1.056e-4,1.584e-6,0.02106723004813363,1.3389681198154644,0.21770146069973872
20200312,0.021073267568881556,1.064e-4,1.5959999999999998e-6,0.02107968000834028,1.3462707269250667,0.2187070618139473
20200313,0.021086047385329564,1.0726e-4,1.6089e-6,0.021092459824788287,1.3536185681725776,0.21971805153378715
20200314,0.021098952897198636,1.0872e-4,1.6308e-6,0.02110536533665736,1.3610461986233946,0.2207391681111314
20200315,0.02111168701589794,1.0928e-4,1.6392e-6,0.021118099455356663,1.3684620609560412,0.22175781830303828
20200316,0.02112457495330143,1.0943e-4,1.64145e-6,0.021130987392760155,1.3758561727628589,0.22277264193071464
20200317,0.021136870497582543,1.0975e-4,1.64625e-6,0.021143282937041267,1.3831934243313297,0.22377883872927504
20200318,0.021148644499795297,1.1003e-4,1.65045e-6,0.02115505693925402,1.3904755325691085,0.2247766678731791
20200319,0.021160183611523723,1.1078e-4,1.6617000000000001e-6,0.021166596050982447,1.397756578306192,0.22577355394310197
20200320,0.021171159447509028,1.1124e-4,1.6686e-6,0.021177571886967752,1.4049929432067785,0.22676353715718134
20200321,0.021181606603293428,1.1177e-4,1.6765499999999999e-6,0.02118801904275215,1.4121919919835677,0.22774764298202113
20200324,0.021192631284155817,1.1435e-4,1.71525e-6,0.02119904372361454,1.4360840942842885,0.23100821641845368
20200325,0.021205216359148658,1.1475e-4,1.7212499999999998e-6,0.02121162879860738,1.4434557299042854,0.2320125516916594
20200326,0.021218816956632112,1.1574e-4,1.7361e-6,0.021225229396090835,1.4509280946470553,0.23302981161661135
20200327,0.021232890639428195,1.1629e-4,1.7443499999999999e-6,0.02123930307888692,1.4584328661269015,0.23405067839462976
20200328,0.021247174992056833,1.1644e-4,1.7466e-6,0.021253587431515557,1.465924029091667,0.2350688943510788
20200329,0.021260993087002984,1.1657e-4,1.74855e-6,0.021267405526461707,1.4733529024825136,0.23607785939699186
20200330,0.021274754461184094,1.1668e-4,1.7502e-6,0.021281166900642818,1.480746906306067,0.23708131748119077
20200331,0.02128811102272842,1.1698e-4,1.7547e-6,0.021294523462187142,1.4880955054345952,0.2380778557614208
20200401,0.021301099229861592,1.176e-4,1.764e-6,0.021307511669320316,1.4954237819730767,0.23907089003743706
20200402,0.021313560939051363,1.1858e-4,1.7787e-6,0.021319973378510087,1.5027585965578292,0.24006406645845488
20200403,0.021325769399678163,1.1963e-4,1.79445e-6,0.021332181839136887,1.5101106250832093,0.24105883118806018
20200404,0.021337623496500088,1.2036e-4,1.8054000000000001e-6,0.02134403593595881,1.5174495159424075,0.24205108104450757
20200405,0.021348967247883287,1.2115e-4,1.81725e-6,0.02135537968734201,1.5247682855818285,0.24303988091387024
20200406,0.02136012468708939,1.2184e-4,1.8275999999999999e-6,0.021366537126548114,1.532082831901151,0.24402738634270424
20200407,0.021371670698234525,1.2207e-4,1.83105e-6,0.02137808313769325,1.539403012080077,0.24501493188438064
20200408,0.021382728143198193,1.2251e-4,1.8376499999999999e-6,0.021389140582656917,1.5466803707590002,0.24599598994498778
20200409,0.021393320885316917,1.2316e-4,1.8474e-6,0.02139973332477564,1.553930650620026,0.24697269682698605
20200410,0.021403087653395634,1.2382e-4,1.8572999999999998e-6,0.021409500092854358,1.5611273745279524,0.24794150108371665
20200411,0.02141240136592898,1.2467e-4,1.87005e-6,0.021418813805387703,1.5683101548424447,0.24890774852533676
20200412,0.021421414614496377,1.2562e-4,1.8843000000000001e-6,0.0214278270539551,1.5754966732362279,0.24987382277753506
20200413,0.021430352391476875,1.2638e-4,1.8957e-6,0.0214367648309356,1.582689892502445,0.25084012421090374
20200414,0.021439947217014955,1.2664e-4,1.8995999999999998e-6,0.02144635965647368,1.5899145895106774,0.2518099794125031
20200415,0.02144927798994823,1.2745e-4,1.91175e-6,0.021455690429406954,1.5971350568462335,0.2527785946728774
20200416,0.021458143304329186,1.2806e-4,1.9208999999999997e-6,0.02146455574378791,1.6043240052654621,0.2537423176365993
20200417,0.02146671044282607,1.2861e-4,1.92915e-6,0.021473122882284795,1.6114896000184857,0.2547022539015822
20200418,0.021475087674856428,1.2942e-4,1.9413e-6,0.02148150011431515,1.618656030391616,0.25566165042745675
20200419,0.021483766620600264,1.303e-4,1.9544999999999997e-6,0.021490179060058987,1.625864571252358,0.2566260303244235
20200420,0.021492574942008062,1.3132e-4,1.9698e-6,0.021498987381466786,1.6331112219389687,0.25759485080078104
20200421,0.021501497884835546,1.3217e-4,1.98255e-6,0.02150791032429427,1.6403835826862394,0.25856644878515306
20200422,0.02151035407233361,1.3307e-4,1.9960499999999997e-6,0.021516766511792334,1.6476706555176865,0.25953935280921586
20200423,0.02151971508154289,1.3364e-4,2.0046e-6,0.021526127521001612,1.6549959843464181,0.2605167024320071
20200424,0.02152973624873761,1.3453e-4,2.01795e-6,0.021536148688196335,1.6623911301144092,0.2615026972619741
20200425,0.021539720699353823,1.3511e-4,2.02665e-6,0.021546133138812547,1.669783944381772,0.2624877120019194
20200426,0.02154987108321112,1.3573e-4,2.03595e-6,0.021556283522669844,1.6771928302366803,0.2634742002304905
20200427,0.021560301308795046,1.3674e-4,2.0510999999999997e-6,0.02156671374825377,1.684649681376723,0.2644664033328839
20200429,0.021570232345975503,1.384e-4,2.076e-6,0.021576644785434227,1.7002277274056738,0.26653704740358036
20200430,0.02158005086023887,1.3904e-4,2.0856e-6,0.021586463299697593,1.7076623390069618,0.2675242384465955
20200501,0.02158964774347634,1.3977e-4,2.09655e-6,0.021596060182935063,1.7150883854380414,0.2685096372362748
