dia_mes_ano,hora_minuto,m,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191007,071500,1,57.31333333333333,8.93,0.29733333333333334,0,0,73.678,0.20266666666666666,0,0,0.494,18.127333333333333,168,4.610666666666667,15,61.46666666666667,2.6726666666666667,216.08,575.1333333333333,1.084,553.2133333333334,15,599.6832533333334
20191007,073000,2,73.31,9.497333333333334,0.316,0,0,78.35933333333334,0.21533333333333332,0,0,0.49733333333333335,18.258,168,3.280666666666667,15,74,3.324,213.8,709.0666666666667,1.314,558.4666666666667,15,733.8252000000001
20191007,074500,3,78.06866666666667,9.832,0.32733333333333337,0,0,81.10866666666666,0.222,0,0,0.488,18.490666666666666,177,5.497333333333334,15,79.6,3.582,214.40666666666667,766.6666666666666,1.4153333333333333,559.12,15,791.3411733333334
20191007,080000,0,58.372,10.856,0.362,0,0,89.55933333333333,0.24666666666666667,0,0,0.49,18.389333333333333,174,6.827333333333334,15,61.06666666666667,2.7013333333333334,213.67333333333335,575.5333333333333,1.0866666666666667,551.5600000000001,15,599.3618666666667
20191007,081500,1,79.25866666666667,11.216,0.374,0,0,92.532,0.25533333333333336,0,0,0.49266666666666664,18.463333333333335,159,5.054,15,80.4,3.5653333333333332,215.4,777.0666666666667,1.4266666666666667,550.0466666666666,15,784.7332444444444
20191007,083000,2,80.318,11.116,0.37066666666666664,0,0,91.70533333333333,0.25133333333333335,0,0,0.48,18.463333333333335,195,6.295333333333334,15,82.46666666666667,3.7133333333333334,215.51333333333332,798.7333333333333,1.4673333333333334,561.5266666666666,15,823.9467955555556
20191007,084500,3,110.85666666666667,10.692,0.35533333333333333,0,0,88.21333333333334,0.242,0,0,0.49933333333333335,18.688,144,4.344666666666667,15,109,5.0200000000000005,215.56,1080.3333333333333,1.9453333333333334,569.8866666666667,15,1108.619528888889
20191007,090000,0,192.56266666666667,10.288666666666666,0.3433333333333333,0,0,84.88733333333333,0.23333333333333334,0,0,0.494,19.374,150,4.610666666666667,15,177.6,8.31,217.78,1808.0666666666666,3.2066666666666666,574.8466666666667,15,1843.3416444444445
20191007,091500,1,144.83599999999998,10.027333333333333,0.33266666666666667,0,0,82.732,0.228,0,0,0.492,19.578,138,3.6353333333333335,15,144.13333333333333,6.612666666666667,217.84666666666666,1440.0666666666666,2.5893333333333333,566.7,15,1467.3752000000002
20191007,093000,2,161.09733333333332,8.912666666666667,0.29733333333333334,0,0,73.53733333333334,0.20133333333333334,0,0,0.508,19.633333333333333,129,5.763333333333334,15,156.66666666666666,7.192666666666667,218.43333333333334,1570.2666666666667,2.802,571.1,15,1600.2222000000002
20191007,094500,3,192.03466666666668,8.139333333333333,0.27066666666666667,0,0,67.15066666666667,0.184,0,0,0.5033333333333333,19.810666666666666,141,4.610666666666667,15,185.86666666666667,8.578666666666667,219.33333333333334,1881.4666666666667,3.3366666666666664,572.4933333333333,15,1910.2194222222222
20191007,100000,0,440.0586666666667,7.431333333333333,0.24866666666666667,0,0,61.30466666666667,0.16866666666666666,0,0,0.49933333333333335,21.094666666666665,126,7.448,15,375.6666666666667,16.58,219.49333333333334,3644.4666666666667,6.386,569.2333333333333,15,3635.1240666666667
