"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"225",20191116,73500,4944,22.38,8.91,220.9,559,545
"226",20191116,73600,4983,22.54,9.07,220.9,559.8,548
"227",20191116,73700,5016,22.7,9.12,220.9,560.7,552
"228",20191116,73800,5049,22.86,9.1,220.8,561.2,555
"229",20191116,73900,5094,23.06,9.26,220.8,559.2,560
"230",20191116,74000,5127,23.08,9.24,222.1,562.6,566
"231",20191116,74100,5163,23.23,9.33,222.3,558.3,569
"232",20191116,74200,5199,23.4,9.53,222.1,554.2,575
"233",20191116,74300,5228,23.54,9.52,222.3,557.3,578
"234",20191116,74400,5250,23.63,9.6,222.4,553.5,583
"235",20191116,74500,5277,23.72,9.6,222.4,559.8,586
"236",20191116,74600,5308,23.86,9.72,222.5,554.6,589
"237",20191116,74700,5356,24.06,9.81,222.5,554.6,595
"238",20191116,74800,5378,24.16,9.89,222.7,550.1,596
"239",20191116,74900,5414,24.34,9.97,222.6,554.9,602
"240",20191116,75000,5448,24.45,9.96,222.6,550.8,605
"241",20191116,75100,5487,24.66,10.14,222.6,553.1,610
"242",20191116,75200,5523,24.85,10.1,222.3,552.8,615
"243",20191116,75300,5568,25.03,10.17,222.4,554,619
"244",20191116,75400,5604,25.2,10.33,222.3,550.4,622
"245",20191116,75500,5645,25.39,10.31,222.3,553.8,627
"246",20191116,75600,5673,25.51,10.44,222.2,553.3,633
"247",20191116,75700,5703,25.61,10.51,222.6,552.3,634
"248",20191116,75800,5727,25.67,10.62,223.1,550,639
"249",20191116,75900,5754,25.79,10.6,223,549,640
"250",20191116,80000,5793,25.96,10.77,223.1,550.1,648
"251",20191116,80100,5829,26.12,10.84,223.1,547.2,651
"252",20191116,80200,5853,26.41,10.81,221.6,551.2,654
"253",20191116,80300,5886,26.56,10.88,221.6,546.9,662
"254",20191116,80400,5918,26.69,10.99,221.7,550.7,663
"255",20191116,80500,5221,21.85,9.61,220.5,504.9,668
"256",20191116,80600,5982,26.94,11.12,221.8,543.5,672
"257",20191116,80700,6007,27.1,11.2,221.8,547.7,675
"258",20191116,80800,6033,27.19,11.17,221.9,547,680
"259",20191116,80900,6061,27.29,11.24,222.1,545,683
"260",20191116,81000,6096,27.45,11.4,222,545.8,688
"261",20191116,81100,6111,27.52,11.33,222,546.7,691
"262",20191116,81200,6131,27.62,11.56,222,542.6,694
"263",20191116,81300,6165,27.75,11.63,222.1,541.2,698
"264",20191116,81400,6189,27.86,11.57,222.1,541.1,703
"265",20191116,81500,6219,28,11.74,222.1,539.5,706
"266",20191116,81600,6245,28.12,11.67,222.1,540.9,709
"267",20191116,81700,6270,28.21,11.74,222.2,539.7,713
"268",20191116,81800,6291,28.3,11.94,222.3,538.3,717
"269",20191116,81900,6309,28.37,11.98,222.2,536.1,720
"270",20191116,82000,6328,28.47,11.99,222.3,535.3,724
"271",20191116,82100,6312,28.57,12.03,222.2,542.1,729
"272",20191116,82200,6387,28.76,12.04,222.2,535.3,732
"273",20191116,82300,6426,28.9,12.23,222.4,538.3,735
"274",20191116,82400,6444,28.97,12.13,222.5,537.7,738
"275",20191116,82500,6474,29.1,12.19,222.4,538.4,741
"276",20191116,82600,6513,29.26,12.23,222.5,535.6,745
"277",20191116,82700,6522,29.35,12.37,222.3,539.4,750
"278",20191116,82800,6537,29.41,12.47,222.1,530.7,752
"279",20191116,82900,6564,29.54,12.56,222.3,535.8,756
"280",20191116,83000,6588,29.64,12.49,222.2,531.2,759
"281",20191116,83100,6603,29.73,12.64,222.1,533.7,761
"282",20191116,83200,6633,29.85,12.57,222.2,532.9,767
"283",20191116,83300,6668,30.02,12.77,222.1,534.9,767
"284",20191116,83400,6693,29.95,12.81,223.5,530.6,773
"285",20191116,83500,6723,30.04,12.81,223.6,535.2,777
"286",20191116,83600,6699,29.82,12.3,223.7,548,779
"287",20191116,83700,6759,30.19,12.83,223.7,534.6,782
"288",20191116,83800,6792,30.39,13.13,223.6,529.3,788
"289",20191116,83900,6824,30.51,13.2,223.6,528,793
"290",20191116,84000,6869,30.69,13.06,223.7,530.8,794
"291",20191116,84100,6870,30.71,13.3,223.6,526.4,797
"292",20191116,84200,6918,30.91,13.31,223.6,530.5,802
"293",20191116,84300,6951,31.1,13.35,223.5,532.9,805
"294",20191116,84400,6980,31.21,13.38,223.6,532,809
"295",20191116,84500,7020,31.39,13.44,223.6,530.8,812
"296",20191116,84600,7030,31.43,13.44,223.8,527.4,815
"297",20191116,84700,7056,31.5,13.48,223.9,529.2,819
"298",20191116,84800,7083,31.65,13.6,223.7,529.3,825
"299",20191116,84900,7108,31.77,13.67,223.7,525.8,826
"300",20191116,85000,7134,31.87,13.75,223.7,530.4,831
"301",20191116,85100,7152,31.95,13.75,223.8,525.9,832
"302",20191116,85200,7185,32.32,13.9,222.2,528.9,837
"303",20191116,85300,7217,32.47,13.87,222.4,529.5,840
"304",20191116,85400,7251,32.59,13.9,222.6,528.7,844
"305",20191116,85500,7263,32.61,14.04,222.6,526.3,846
"306",20191116,85600,7278,32.68,13.93,222.7,527.1,849
"307",20191116,85700,7281,32.73,14.16,222.3,524.5,851
"308",20191116,85800,7280,32.73,14.03,222.3,526.7,854
"309",20191116,85900,7296,32.82,14.18,222.2,523.3,854
"310",20191116,90000,7302,32.84,14.17,222.2,523.2,858
"311",20191116,90100,7329,32.96,14.21,222.5,528,860
"312",20191116,90200,7345,33.04,14.19,222.4,522.8,863
"313",20191116,90300,7395,33.21,14.39,222.5,524.5,867
"314",20191116,90400,7423,33.34,14.44,222.6,525.1,870
"315",20191116,90500,7455,33.47,14.51,222.7,526.9,875
"316",20191116,90600,7473,33.56,14.39,222.6,527.7,878
"317",20191116,90700,7436,33.67,14.56,222.7,519.4,881
"318",20191116,90800,7522,33.78,14.59,222.6,527.1,884
"319",20191116,90900,7542,33.89,14.56,222.7,522.5,889
"320",20191116,91000,7557,33.93,14.75,222.7,527.3,892
"321",20191116,91100,7564,33.92,14.82,222.9,522.5,892
"322",20191116,91200,7564,33.93,14.85,222.9,522.3,893
"323",20191116,91300,7581,34.02,14.91,222.8,521.6,896
"324",20191116,91400,7585,34.08,14.91,222.6,520.9,898
"325",20191116,91500,7605,34.15,14.84,222.6,520,899
"326",20191116,91600,7620,34.24,14.98,222.5,518.8,902
"327",20191116,91700,7644,34.39,14.93,222.3,522.7,905
"328",20191116,91800,7668,34.42,15.07,222.6,516.2,910
"329",20191116,91900,7679,34.47,15.09,222.7,516.9,913
"330",20191116,92000,7719,34.66,15.06,222.6,517.3,916
"331",20191116,92100,7726,34.73,15.24,222.4,520.1,919
"332",20191116,92200,7718,34.69,15.07,222.4,518.8,921
"333",20191116,92300,7707,34.71,15.29,222.1,515.8,922
"334",20191116,92400,7728,34.71,15.26,222.5,512.6,924
"335",20191116,92500,7752,34.83,15.42,222.5,514.3,927
"336",20191116,92600,7794,35,15.49,222.6,513.6,931
"337",20191116,92700,7813,35.1,15.43,222.5,512.8,934
"338",20191116,92800,7839,35.09,15.59,223.2,512.1,937
"339",20191116,92900,7845,35.13,15.56,223.3,511.6,939
"340",20191116,93000,7852,35.18,15.56,223.2,515.9,942
"341",20191116,93100,7875,35.25,15.67,223.3,515.3,945
"342",20191116,93200,7908,35.39,15.73,223.4,514.6,948
"343",20191116,93300,7917,35.23,15.63,224.6,514.3,949
"344",20191116,93400,7935,35.32,15.79,224.6,512.6,954
