dia,Vd1,Pd,Nloss,Vd2,m,x_gauss,SR
20191025,0.025045913127071898,1.8e-5,2.7e-7,0.02505232556653062,0.18770389100856988,0.04119673782292467,-0.5968046329191374
20191026,0.024718448288502,1.9e-5,2.85e-7,0.024724860727960724,0.1964159468402362,0.0428112173504569,-0.6593076237366546
20191027,0.02517754049370063,2e-5,3.0000000000000004e-7,0.025183952933159354,0.20724639669650316,0.044803129098354696,-0.7364105925327817
20191028,0.02609407946303819,2.1e-5,3.1499999999999995e-7,0.026100491902496914,0.22269191856426132,0.04761665764234042,-0.8452931364641263
20191029,0.026462105744266644,2.3e-5,3.45e-7,0.026468518183725368,0.23504148114153214,0.04984477835022637,-0.9314999943339348
20191030,0.026222869350767106,2.3e-5,3.45e-7,0.02622928179022583,0.24350137452314358,0.051360775442311955,-0.9901436188915922
20191031,0.02669747670868736,2.5e-5,3.75e-7,0.026703889148146084,0.255805370590062,0.05355139329556261,-1.0748675345310055
20191101,0.026752505707251847,2.5e-5,3.75e-7,0.02675891814671057,0.2657701685165036,0.05531374351297992,-1.1430134645729786
20191102,0.026376814791836647,2.6e-5,3.8999999999999997e-7,0.02638322723129537,0.27342511429673533,0.056660721406296945,-1.1950889908667164
20191103,0.026500117337586,2.9e-5,4.3499999999999996e-7,0.026506529777044725,0.3015799966691444,0.06156681496271677,-1.3846949301313587
20191104,0.026700107035200912,3.2e-5,4.8e-7,0.026706519474659636,0.33524786096222686,0.06734285840873959,-1.607774398591331
20191105,0.027304385065193795,3.8e-5,5.7e-7,0.02731079750465252,0.39321282562803594,0.07708625554891596,-1.9836782501869972
20191106,0.02755441822851069,4e-5,6.000000000000001e-7,0.027560830667969414,0.4182717829572255,0.08122893622028993,-2.1433375349956307
20191107,0.026980868764922238,4e-5,6.000000000000001e-7,0.026987281204380962,0.42136615278582673,0.08173781804831157,-2.1629425874652872
20191108,0.026644857050439754,4.1e-5,6.149999999999999e-7,0.026651269489898478,0.4265423364841055,0.08258779015500882,-2.195684755746796
20191109,0.02661794553583462,4.2e-5,6.299999999999999e-7,0.026624357975293344,0.43546994124779564,0.08405009131983011,-2.252003952079942
20191110,0.026434060982327652,4.2e-5,6.299999999999999e-7,0.026440473421786376,0.43857112308621754,0.08455697567714433,-2.271522922371563
20191111,0.02610144471368097,4.2e-5,6.299999999999999e-7,0.026107857153139694,0.44000950289320145,0.08479189111930625,-2.280568418008351
20191112,0.026207665842718754,4.3e-5,6.45e-7,0.026214078282177478,0.4473749265175503,0.08599298054601265,-2.3268111054674665
20191113,0.02632328149738402,4.4e-5,6.599999999999999e-7,0.026329693936842744,0.45716642723069184,0.08758503361473412,-2.3880913925507126
20191114,0.0257107283569441,4.3e-5,6.45e-7,0.025717140796402825,0.45196829424465756,0.08674049662144971,-2.355586124060093
20191115,0.02538521866340899,4.3e-5,6.45e-7,0.025391631102867712,0.45244026966525636,0.08681723911550694,-2.358540052802788
20191116,0.02503409007616459,4.4e-5,6.599999999999999e-7,0.025040502515623314,0.4564293872248714,0.08746537683058106,-2.3834862303145607
20191117,0.02501317261691506,4.5e-5,6.75e-7,0.025019585056373785,0.4653793301880352,0.08891639959179005,-2.4393243722638505
20191118,0.025405152200777964,4.6e-5,6.9e-7,0.025411564640236688,0.48034296423827133,0.09133294283267764,-2.5322855069829004
20191119,0.025410147870768472,4.7e-5,7.049999999999999e-7,0.025416560310227196,0.48812474207580364,0.09258509715565418,-2.5804381132536585
20191120,0.02525340158792484,4.7e-5,7.049999999999999e-7,0.025259814027383563,0.492721517311187,0.09332332342174274,-2.6088219794169833
20191121,0.025048522199774857,4.8e-5,7.2e-7,0.02505493463923358,0.49989293107071553,0.09447293322037785,-2.653015224050916
20191122,0.025150277515276046,4.9e-5,7.35e-7,0.02515668995473477,0.5111077014062322,0.09626568357529793,-2.7219128494045135
20191123,0.025267971955482534,5e-5,7.5e-7,0.025274384394941257,0.5235304024990515,0.09824453451464753,-2.797934927146061
20191124,0.025388048878278432,5.2e-5,7.799999999999999e-7,0.025394461317737156,0.5384400196900554,0.10061010038574184,-2.8887747113999085
20191125,0.025826138312993192,5.3e-5,7.95e-7,0.025832550752451916,0.5542860551363982,0.10311330317523379,-2.984852776449401
20191126,0.026221163424782232,5.4e-5,8.1e-7,0.026227575864240956,0.5663065017541972,0.10500488359285902,-3.0574226899480745
20191127,0.026118781126351902,5.5e-5,8.25e-7,0.026125193565810625,0.5690846180172777,0.10544118155494153,-3.0741570577446122
20191128,0.02571470310309557,5.4e-5,8.1e-7,0.025721115542554292,0.5637636279397401,0.10460524346583469,-3.0420930011134955
20191129,0.025334796886130148,5.4e-5,8.1e-7,0.025341209325588872,0.559683777129769,0.10396347488090833,-3.0174728916353217
20191130,0.025073468516786712,5.4e-5,8.1e-7,0.025079880956245436,0.5592495159558616,0.10389512275741702,-3.014850511430261
20191201,0.024743342311725793,5.4e-5,8.1e-7,0.024749754751184516,0.5635802201936214,0.10457640832544586,-3.040986872034397
20191203,0.024483576218715854,5.4e-5,8.1e-7,0.024489988658174578,0.5678945714237493,0.10525432687549775,-3.0669903663503497
20191207,0.024133212199408463,5.5e-5,8.25e-7,0.024139624638867187,0.5693254586614673,0.10547898978723487,-3.0756071339118476
20191208,0.02384908825436628,5.5e-5,8.25e-7,0.023855500693825003,0.5720040282783301,0.10589931917106367,-3.091727436193623
20191209,0.023465229414599963,5.5e-5,8.25e-7,0.023471641854058686,0.5708146532909282,0.10571271597216673,-3.0845710826855477
20191210,0.023054983304689133,5.5e-5,8.25e-7,0.023061395744147856,0.5778884945487519,0.10682167491684585,-3.127096212845224
20191211,0.022851261688558618,5.6e-5,8.4e-7,0.02285767412801734,0.5801303520525679,0.10717269509653816,-3.1405546519994543
20191218,0.02263117822714882,5.5e-5,8.25e-7,0.022637590666607543,0.5784482512789278,0.10690933860907882,-3.1304574147722475
20191219,0.02274570787130031,5.6e-5,8.4e-7,0.022752120310759034,0.583728427215786,0.10773563338390402,-3.1621361124686933
20191220,0.023258983359692804,5.7e-5,8.55e-7,0.023265395799151527,0.599963859279898,0.11026922193821662,-3.2592341316902367
20191221,0.023225342788041167,5.8e-5,8.699999999999999e-7,0.02323175522749989,0.6051300926454137,0.11107322142167685,-3.2900355736073594
20191222,0.023004035749706064,5.8e-5,8.699999999999999e-7,0.023010448189164787,0.6032772457295252,0.11078499154370663,-3.278994038008813
20191223,0.023089578348034955,5.8e-5,8.699999999999999e-7,0.023095990787493678,0.6105472792965034,0.11191515087211769,-3.32228422615903
20191224,0.023139450710718146,5.9e-5,8.849999999999999e-7,0.02314586315017687,0.6180154426665122,0.11307397283019997,-3.366660951532472
20191225,0.023744125413822207,6.1e-5,9.149999999999999e-7,0.02375053785328093,0.637062456961156,0.116019860869744,-3.479420193220805
20191226,0.0240503338735659,6.2e-5,9.3e-7,0.024056746313024624,0.647220616744124,0.11758544621392457,-3.539314595271745
20200106,0.024569901662895646,6.4e-5,9.6e-7,0.02457631410235437,0.6659691498172118,0.12046519557651753,-3.6494270207291084
20200107,0.02482466034602008,6.5e-5,9.75e-7,0.024831072785478803,0.6778878476992023,0.12228944286675895,-3.7191410141444647
20200108,0.024726099826041088,6.5e-5,9.75e-7,0.02473251226549981,0.6800107884308283,0.12261385901546115,-3.7315354014737734
20200109,0.025370005983792954,6.8e-5,1.02e-6,0.025376418423251678,0.7056405137424254,0.12651841055866717,-3.8806315381588172
20200110,0.025448159693046143,6.9e-5,1.0349999999999998e-6,0.025454572132504866,0.7218495468414042,0.12897656320769332,-3.974421378023675
20200111,0.02555008679299829,7e-5,1.05e-6,0.025556499232457015,0.7347180744778761,0.13092211444038815,-4.048611019679456
20200112,0.025432673647686654,7.1e-5,1.065e-6,0.025439086087145377,0.7362544796111902,0.13115404926055366,-4.057452872510166
20200113,0.02557532271406694,7.1e-5,1.065e-6,0.025581735153525662,0.7451132629656798,0.13248993010490576,-4.108369015826498
20200114,0.02570068538829582,7.2e-5,1.08e-6,0.025707097827754544,0.7540159562478691,0.13382999133566664,-4.159426386545257
20200115,0.025806818090513453,7.3e-5,1.0949999999999999e-6,0.025813230529972177,0.76369305323053,0.13528388128330798,-4.214800004852043
