tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,5025.0,9.23,572.0,23.62,212.9,20191003.0,548.1,080000
inverter,5056.0,9.36,576.0,23.43,215.7,20191003.0,549.1,080100
inverter,5094.0,9.34,581.0,23.6,215.8,20191003.0,549.8,080200
inverter,5022.0,9.22,586.0,23.33,215.2,20191003.0,551.3,080300
inverter,5173.0,9.5,589.0,24.22,213.6,20191003.0,551.5,080400
inverter,5208.0,9.62,593.0,24.37,213.7,20191003.0,547.4,080500
inverter,5232.0,9.66,598.0,24.53,213.3,20191003.0,552.6,080600
inverter,5265.0,9.78,601.0,24.54,214.7,20191003.0,548.9,080700
inverter,5288.0,9.83,604.0,24.72,213.9,20191003.0,548.3,080800
inverter,5332.0,9.84,608.0,24.95,213.8,20191003.0,547.5,080900
inverter,5373.0,10.0,613.0,25.34,212.0,20191003.0,546.5,081000
inverter,5403.0,9.97,618.0,25.48,212.0,20191003.0,548.6,081100
inverter,5448.0,10.07,622.0,25.69,211.9,20191003.0,549.1,081200
inverter,5469.0,10.14,625.0,25.61,213.6,20191003.0,544.7,081300
inverter,5506.0,10.25,630.0,25.78,213.5,20191003.0,549.3,081400
inverter,5520.0,10.17,631.0,25.86,213.6,20191003.0,546.5,081500
inverter,5583.0,10.44,639.0,26.13,213.6,20191003.0,544.9,081600
inverter,5496.0,10.08,642.0,25.74,213.5,20191003.0,560.6,081700
inverter,5619.0,10.56,645.0,26.24,214.1,20191003.0,540.7,081800
inverter,5637.0,10.56,648.0,26.33,213.9,20191003.0,540.3,081900
inverter,5679.0,10.63,654.0,26.53,214.1,20191003.0,540.4,082000
inverter,5700.0,10.66,657.0,26.64,214.2,20191003.0,539.8,082100
inverter,5748.0,10.81,662.0,27.05,212.4,20191003.0,544.1,082200
inverter,5769.0,10.74,663.0,27.14,212.5,20191003.0,542.0,082300
inverter,5799.0,10.95,668.0,27.25,212.5,20191003.0,534.8,082400
inverter,5814.0,10.95,671.0,27.11,214.4,20191003.0,535.3,082500
inverter,5838.0,10.98,674.0,27.24,214.3,20191003.0,535.8,082600
inverter,5869.0,11.03,678.0,27.37,214.4,20191003.0,536.8,082700
inverter,5900.0,11.21,683.0,27.52,214.4,20191003.0,536.3,082800
inverter,5927.0,11.12,688.0,27.58,214.8,20191003.0,539.9,082900
inverter,5961.0,11.22,692.0,27.73,214.7,20191003.0,539.9,083000
inverter,5973.0,11.43,694.0,27.85,214.4,20191003.0,532.1,083100
inverter,5988.0,11.46,697.0,28.06,213.3,20191003.0,533.3,083200
inverter,5997.0,11.5,700.0,28.0,214.1,20191003.0,530.2,083300
inverter,6009.0,11.44,701.0,28.08,213.9,20191003.0,534.8,083400
inverter,6024.0,11.5,704.0,27.64,217.9,20191003.0,534.5,083500
inverter,6054.0,11.5,707.0,27.78,217.9,20191003.0,531.0,083600
inverter,6102.0,11.6,712.0,27.98,218.1,20191003.0,531.3,083700
inverter,6120.0,11.68,715.0,28.41,215.5,20191003.0,529.9,083800
inverter,6150.0,11.76,718.0,28.69,214.3,20191003.0,534.1,083900
inverter,6165.0,11.85,721.0,28.91,213.2,20191003.0,533.6,084000
inverter,6189.0,11.88,724.0,29.09,212.7,20191003.0,529.2,084100
inverter,6179.0,11.91,726.0,29.08,212.4,20191003.0,529.3,084200
inverter,6234.0,12.04,733.0,28.97,215.1,20191003.0,528.8,084300
inverter,6261.0,11.99,736.0,29.12,215.0,20191003.0,525.9,084400
inverter,6321.0,12.12,744.0,29.4,215.1,20191003.0,527.0,084500
inverter,6351.0,12.31,747.0,29.86,212.7,20191003.0,526.6,084600
inverter,6384.0,12.35,750.0,30.02,212.6,20191003.0,526.0,084700
inverter,6417.0,12.33,752.0,29.89,214.7,20191003.0,528.3,084800
inverter,6426.0,12.25,755.0,29.72,216.1,20191003.0,530.7,084900
inverter,6459.0,12.42,756.0,29.72,217.3,20191003.0,529.7,085000
inverter,6474.0,12.31,758.0,30.0,215.6,20191003.0,532.4,085100
inverter,6462.0,12.42,758.0,30.4,213.0,20191003.0,528.8,085200
inverter,6510.0,12.46,762.0,30.54,212.8,20191003.0,532.9,085300
inverter,6545.0,12.58,767.0,30.7,213.1,20191003.0,528.3,085400
inverter,6552.0,12.68,770.0,30.73,213.2,20191003.0,524.1,085500
inverter,6567.0,12.63,773.0,30.44,215.8,20191003.0,523.6,085600
inverter,6589.0,12.72,774.0,30.29,217.4,20191003.0,523.4,085700
inverter,6600.0,12.68,777.0,30.31,218.2,20191003.0,527.5,085800
inverter,6640.0,12.9,780.0,30.8,215.6,20191003.0,526.7,085900
inverter,6651.0,12.77,782.0,30.73,216.5,20191003.0,525.8,090000
inverter,6675.0,12.94,785.0,30.87,216.2,20191003.0,524.4,090100
inverter,6699.0,12.87,788.0,31.13,215.1,20191003.0,528.0,090200
inverter,6716.0,13.0,791.0,31.17,215.5,20191003.0,523.5,090300
inverter,6750.0,13.03,794.0,31.31,215.6,20191003.0,523.4,090400
inverter,6765.0,13.24,799.0,30.76,219.8,20191003.0,519.3,090500
inverter,6816.0,13.25,803.0,31.0,219.8,20191003.0,522.9,090600
inverter,6825.0,13.32,806.0,31.0,219.9,20191003.0,518.4,090700
inverter,6831.0,13.3,808.0,31.44,217.2,20191003.0,518.3,090800
inverter,6809.0,13.33,806.0,31.63,215.2,20191003.0,523.3,090900
inverter,6849.0,13.3,812.0,31.91,214.7,20191003.0,519.5,091000
inverter,6841.0,13.48,814.0,31.88,214.5,20191003.0,513.9,091100
inverter,6869.0,13.54,817.0,31.38,218.8,20191003.0,518.0,091200
inverter,6876.0,13.5,819.0,31.4,218.9,20191003.0,514.0,091300
inverter,6888.0,13.61,819.0,31.46,218.9,20191003.0,517.1,091400
inverter,6906.0,13.55,820.0,32.23,214.3,20191003.0,515.9,091500
inverter,6900.0,13.55,822.0,32.24,214.2,20191003.0,516.8,091600
inverter,6921.0,13.69,825.0,32.27,214.4,20191003.0,514.0,091700
inverter,6939.0,13.67,828.0,31.75,218.7,20191003.0,518.2,091800
inverter,6999.0,13.76,837.0,31.99,218.7,20191003.0,515.1,091900
inverter,7005.0,13.78,838.0,32.02,218.8,20191003.0,516.2,092000
inverter,7026.0,13.93,843.0,32.5,216.4,20191003.0,513.2,092100
inverter,7038.0,13.87,844.0,32.82,214.3,20191003.0,517.2,092200
inverter,7054.0,14.11,849.0,32.88,214.5,20191003.0,509.6,092300
inverter,7041.0,13.97,844.0,32.47,216.8,20191003.0,516.7,092400
inverter,7086.0,14.06,847.0,32.46,218.4,20191003.0,516.3,092500
inverter,7143.0,14.03,854.0,32.75,218.1,20191003.0,515.0,092600
inverter,7155.0,14.19,854.0,33.23,215.3,20191003.0,514.5,092700
inverter,7180.0,14.24,855.0,33.62,213.5,20191003.0,516.4,092800
inverter,6213.0,12.73,861.0,28.52,212.3,20191003.0,480.4,092900
inverter,7228.0,14.32,863.0,33.76,214.1,20191003.0,511.7,093000
inverter,7257.0,14.38,867.0,33.59,216.0,20191003.0,515.5,093100
inverter,7242.0,14.25,867.0,33.55,215.9,20191003.0,512.4,093200
inverter,7266.0,14.43,872.0,33.67,215.8,20191003.0,514.5,093300
inverter,7266.0,14.32,872.0,33.39,217.5,20191003.0,513.8,093400
inverter,7271.0,14.34,873.0,33.42,217.5,20191003.0,513.2,093500
inverter,7293.0,14.37,876.0,33.54,217.3,20191003.0,515.8,093600
inverter,7293.0,14.63,878.0,33.66,216.6,20191003.0,509.3,093700
inverter,7311.0,14.55,881.0,33.74,216.7,20191003.0,508.8,093800
inverter,7359.0,14.76,886.0,33.9,216.8,20191003.0,507.6,093900
inverter,7383.0,14.83,890.0,33.62,219.5,20191003.0,509.4,094000
inverter,7431.0,14.79,895.0,34.39,216.2,20191003.0,511.7,094100
inverter,7452.0,14.97,898.0,34.39,216.7,20191003.0,508.2,094200
inverter,7440.0,14.93,896.0,34.73,214.2,20191003.0,509.7,094300
inverter,7440.0,14.95,898.0,34.22,217.4,20191003.0,506.6,094400
inverter,7431.0,14.83,899.0,34.26,216.9,20191003.0,510.9,094500
inverter,7420.0,14.84,901.0,34.23,216.7,20191003.0,506.6,094600
inverter,7419.0,14.78,899.0,34.12,217.4,20191003.0,507.3,094700
inverter,7409.0,14.74,899.0,34.11,217.2,20191003.0,508.0,094800
inverter,7401.0,14.98,902.0,34.5,214.6,20191003.0,505.3,094900
inverter,7422.0,15.04,902.0,34.28,216.4,20191003.0,503.9,095000
inverter,7503.0,14.94,910.0,34.59,216.9,20191003.0,510.2,095100
inverter,7557.0,15.2,917.0,34.67,217.9,20191003.0,506.3,095200
inverter,7587.0,15.33,922.0,34.7,218.4,20191003.0,500.8,095300
inverter,7581.0,15.37,922.0,34.72,218.3,20191003.0,505.3,095400
inverter,7602.0,15.53,927.0,34.85,217.8,20191003.0,500.8,095500
inverter,7613.0,15.27,930.0,35.05,217.1,20191003.0,508.3,095600
inverter,7607.0,15.31,930.0,35.04,217.1,20191003.0,508.1,095700
inverter,7644.0,15.34,930.0,35.25,216.8,20191003.0,503.2,095800
