dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191012,194500,0,7.501333333333333,0.25,0,0,61.88933333333333,0.17066666666666666,0,0,0.5086666666666667,22.691333333333333,138,1.6846666666666668,0,0.1,214.8,0,0,44.666666666666664,0
20191012,200000,476,7.206666666666667,0.24,0,0,59.452666666666666,164,0,0,486,22.785999999999998,147,0,0,0.1,214.8,0,0,44.973333333333336,0
20191012,201500,0,7502,0.24933333333333335,0,0,61.897999999999996,0.17,0,0,0.4706666666666667,23.004666666666665,171,266,0,0.1,214.8,0,0,45.46,0
20191012,203000,304,7.669333333333333,0.25466666666666665,0,0,63.27066666666666,0.17466666666666666,0,0,0.4573333333333333,22.724666666666668,120,1.33,0,0.1,214.8,0,0,45.5,0
20191012,204500,304,9.607333333333333,0.31866666666666665,0,0,79.25066666666666,0.21733333333333335,0,0,0.45666666666666667,22742,135,2.748666666666667,0,0.1,214.8,0,0,45.135714285714286,0
20191012,210000,0.82,9.305333333333333,0.30866666666666664,0,0,76.75666666666666,0.21133333333333335,0,0,0.45266666666666666,22.883333333333333,126,0,0,0.1,214.8,0,0,44.22666666666667,0
20191012,211500,212,8.394666666666666,0.2793333333333333,0,0,69.25733333333334,0.19066666666666668,0,0,452,22832,156,0.3546666666666667,0,0.1,214.8,0,0,44.11333333333334,0
20191012,213000,1124,9.197333333333333,306,0,0,75.87866666666666,0.20733333333333334,0,0,0.4573333333333333,22.686666666666667,132,0.17733333333333334,0,0.1,214.8,0,0,44.44,0
20191012,214500,1.2566666666666666,9.113333333333333,304,0,0,75182,206,0,0,0.45466666666666666,23334,144,0,0,0.1,214.8,0,0,43.973333333333336,0
20191012,220000,252,8.803333333333333,0.2946666666666667,0,0,72.62866666666666,0.19933333333333333,0,0,0.4593333333333333,22.679333333333332,135,0,0,0.1,214.8,0,0,44.74,0
20191012,221500,344,8604,286,0,0,70.99666666666667,0.19533333333333333,0,0,0.45466666666666666,22.233333333333334,135,0,0,0.1,214.8,0,0,45.68,0
20191012,223000,0.17200000000000001,8.769333333333334,0.2906666666666667,0,0,72.34666666666666,0.19866666666666666,0,0,0.4613333333333333,21726,123,1.9506666666666668,0,0.1,214.8,0,0,45.586666666666666,0
20191012,224500,0,8546,0.28533333333333333,0,0,70.50800000000001,0.19466666666666665,0,0,0.4513333333333333,21.96666666666667,90,0.3546666666666667,0,0.1,214.8,0,0,44.42666666666667,0
20191012,230000,304,7.9046666666666665,264,0,0,65.22066666666667,0.18066666666666667,0,0,458,22.942666666666668,96,6118,0,0.1,214.8,0,0,43.78666666666667,0
20191012,231500,0,6.108666666666667,0.20333333333333334,0,0,50.41133333333333,138,0,0,0.44866666666666666,23.730666666666668,57,9.930666666666667,0,0.1,214.8,0,0,43.75333333333333,0
20191012,233000,0,5.246666666666666,0.17600000000000002,0,0,43.29666666666667,0.12,0,0,0.4633333333333333,23562,60,6916,0,0.1,214.8,0,0,43.6,0
20191012,234500,0.04,5.080666666666667,0.16933333333333334,0,0,41.913333333333334,0.11466666666666667,0,0,0.44933333333333336,23312,78,2.482666666666667,0,0.1,214.8,0,0,44.38666666666667,0
