dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191006,101500,208.69,1.99,0.07,0,0,16.41,0.04,0,0,0.45,20.25,186,7.36,202.07,9.38,218.62,2048.73,3.63,572.71,2078.94
20191006,103000,201.95,2,0.07,0,0,16.47,0.05,0,0,0.44,20.27,189,7.36,195.33,9.01,218.31,1968.53,3.49,572.47,1997.92
20191006,104500,140.47,2.18,0.07,0,0,17.97,0.05,0,0,0.46,20.01,207,9.31,137.87,6.34,217.71,1377,2.48,567.31,1406.93
20191006,110000,184.1,2.16,0.07,0,0,17.84,0.05,0,0,0.44,20.44,213,8.78,183.67,8.34,218.25,1820.2,3.24,570.1,1847.12
20191006,111500,205.65,1.79,0.06,0,0,14.73,0.04,0,0,0.45,20.48,213,8.42,187.13,8.78,218.29,1914.87,3.4,571.69,1943.75
20191006,113000,207.11,1.99,0.07,0,0,16.44,0.05,0,0,0.44,21.04,213,8.25,190.07,8.9,218.23,1943.6,3.46,570.05,1972.37
20191006,114500,184.9,1.97,0.06,0,0,16.24,0.04,0,0,0.44,20.99,219,10.82,179.13,8.23,217.61,1814.27,3.24,557.91,1807.63
20191006,120000,154.75,2.28,0.08,0,0,18.78,0.05,0,0,0.44,20.53,204,10.2,148.8,6.84,217.76,1487.6,2.68,566.97,1519.48
20191006,121500,136.9,2.28,0.08,0,0,18.78,0.05,0,0,0.43,20.36,204,10.29,135.87,6.22,217.57,1352.67,2.44,564.63,1377.7
20191006,123000,135.71,2.6,0.09,0,0,21.45,0.06,0,0,0.44,20.67,210,7.45,133.6,6.08,217.57,1320.8,2.39,564.75,1349.75
20191006,124500,278.63,2.02,0.07,0,0,16.67,0.05,0,0,0.46,21.47,213,10.91,248.87,11.8,219.21,2586.4,4.56,574.55,2619.95
20191006,130000,247.17,2.38,0.08,0,0,19.65,0.05,0,0,0.44,21.75,216,9.75,225.6,10.6,218.83,2320.73,4.12,570.49,2350.42
20191006,131500,229.72,2.07,0.07,0,0,17.08,0.05,0,0,0.44,21.7,219,12.59,226.87,10.21,218.76,2238.93,4.04,561.79,2269.63
