dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191106,043000,0,23.36,0,7.57,0.25,0,0,62.45,0.17,0,0,0.45,173.33,7.18,15
20191106,044500,0,23.42,0,7.31,0.24,0,0,60.28,0.17,0,0,0.44,119.33,5.05,15
20191106,050000,0.68,23.33,0,7.32,0.24,0,0,60.4,0.17,0,0,0.44,61.33,5.67,15
20191106,051600,5.4,23.5,0,7.13,0.24,0,0,58.79,0.16,0,0,0.46,0,7.79,14
20191106,053000,17.87,23.57,0,7.82,0.26,0,0,64.53,0.18,0,0,0.45,91,3.99,15
20191106,054500,25.44,23.47,0,9.22,0.31,0,0,76.05,0.21,0,0,0.44,33,6.21,15
20191106,060100,49.96,23.63,0,8.32,0.28,0,0,68.61,0.19,0,0,0.46,3.21,14.63,14
20191106,061500,77.63,23.85,0,7.92,0.26,0,0,65.31,0.18,0,0,0.45,37.33,12.59,15
20191106,063000,96.41,24.08,0,7.15,0.24,0,0,59.01,0.16,0,0,0.45,15,13.92,15
20191106,064600,116.63,24.16,0,7,0.23,0,0,57.78,0.16,0,0,0.45,28.93,18.91,14
20191106,070000,137.51,24.3,0,7.44,0.25,0,0,61.41,0.17,0,0,0.44,30,18,15
20191106,071500,172.86,24.75,0,7.54,0.25,0,0,62.23,0.17,0,0,0.45,9,20.04,15
20191106,073000,209.52,25.09,0,8.62,0.29,0,0,71.12,0.2,0,0,0.46,15,24.74,15
20191106,074500,256.88,25.65,0,9.66,0.32,0,0,79.7,0.22,0,0,0.47,3,20.48,15
20191106,080000,309.46,26.17,0,9.25,0.31,0,0,76.34,0.21,0,0,0.44,0,19.51,15
20191106,081500,355.12,26.92,0,9.02,0.3,0,0,74.38,0.2,0,0,0.44,44.67,19.77,15
20191106,083000,381.08,27.23,0,9.25,0.31,0,0,76.35,0.21,0,0,0.44,0,17.02,15
20191106,084500,499.02,28.08,0,9.48,0.31,0,0,78.21,0.22,0,0,0.44,6,14.36,15
20191106,090000,539.99,28.89,0,9.78,0.33,0,0,80.71,0.22,0,0,0.43,18,15.16,15
20191106,091500,580.04,29.42,0,9.51,0.32,0,0,78.44,0.22,0,0,0.45,25.33,14.28,15
20191106,093000,885.84,31.87,0,9.06,0.3,0,0,74.76,0.21,0,0,0.43,119.67,12.59,15
20191106,094500,822.05,31.98,0,9.31,0.31,0,0,76.81,0.21,0,0,0.43,71.67,15.69,15
20191106,100000,756.16,31.39,0,9.61,0.32,0,0,79.27,0.22,0,0,0.43,47.67,12.5,15
