dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200428,140800,6024,27.36,11.61,220.1,525.2,767
20200428,140900,5973,27.12,11.46,220.3,529.4,762
20200428,141000,5946,26.98,11.4,220.3,526.5,759
20200428,141100,5919,26.86,11.45,220.3,527.5,753
20200428,141200,5910,26.8,11.31,220.4,529.1,753
20200428,141300,5901,26.75,11.38,220.3,525.8,747
20200428,141400,5904,26.78,11.2,220.3,532.1,747
20200428,141500,5861,26.6,11.11,220.3,532.1,742
20200428,141600,5829,26.44,11.17,220.4,534.3,739
20200428,141700,5797,26.31,11.01,220.4,534.9,738
20200428,141800,5742,26.06,10.99,220.3,527.8,732
20200428,141900,5715,25.99,11.05,219.9,526.4,729
20200428,142000,5694,25.87,10.9,220,530,727
20200428,142100,5673,25.76,10.94,220.1,524.9,723
20200428,142200,5627,25.59,10.85,220,530.2,720
20200428,142300,5634,25.6,10.8,219.9,525.6,720
20200428,142400,5596,25.46,10.71,219.8,526,715
20200428,142500,5575,25.37,10.73,219.8,525.2,712
20200428,142600,5529,25.14,10.66,219.8,529.8,706
20200428,142700,5522,25.1,10.57,220,525.7,706
20200428,142800,5523,25.1,10.68,220,528.5,706
20200428,142900,5520,25.08,10.57,220,527.8,706
20200428,143000,5522,25.09,10.48,220.2,530.7,704
20200428,143100,5525,25.08,10.56,220.1,533.9,706
20200428,143200,5475,24.88,10.37,220,533.4,698
20200428,143300,5430,24.69,10.29,219.8,533.2,692
20200428,143400,5391,24.53,10.23,219.7,533.9,688
20200428,143500,5335,24.3,10.19,219.5,530.7,682
20200428,143600,5316,24.24,10.12,219.3,530.4,678
20200428,143700,5281,24.06,10.09,219.4,534.4,675
20200428,143800,5264,23.95,9.98,219.7,531.4,675
20200428,143900,5238,23.84,10.03,219.8,532.9,669
20200428,144000,5242,23.86,9.93,219.8,532.8,668
20200428,144100,5253,23.93,9.96,219.5,533.9,669
20200428,144200,5248,23.83,9.92,219.6,534.4,669
20200428,144300,702,3.4,1.59,214.3,495.3,95
20200428,144400,1572,7.33,2.86,215.4,546.3,193
20200428,144500,5409,24.62,10.15,219.9,539.9,686
20200428,144600,5196,23.72,10.08,219.7,525.6,651
20200428,144700,5321,24.2,10.04,219.8,539.8,674
20200428,144800,5361,24.39,10.14,219.7,535.4,678
20200428,144900,5373,24.46,10.2,219.7,538.5,682
20200428,145000,5331,24.25,10.01,219.6,537.3,677
