vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
7.98,0.44,1.86,0.0,0.06,0.0,0.0,0.0,0.0,0.04,5800,station,-127.0,15.33,0.0,0.0,20191023.0
3.99,0.43,2.14,0.0,0.07,0.0,0.0,0.0,0.0,0.05,5900,station,-127.0,17.65,315.0,0.0,20191023.0
7.98,0.42,2.28,0.0,0.08,0.0,0.0,0.0,0.0,0.05,10000,station,-127.0,18.79,0.0,0.0,20191023.0
5.32,0.41,1.88,0.0,0.06,0.0,0.0,0.0,0.0,0.04,10100,station,-127.0,15.5,0.0,0.0,20191023.0
5.32,0.41,2.08,0.0,0.07,0.0,0.0,0.0,0.0,0.05,10200,station,-127.0,17.17,0.0,0.0,20191023.0
1.33,0.43,1.96,0.0,0.07,0.0,0.0,0.0,0.0,0.04,10300,station,-127.0,16.13,0.0,0.0,20191023.0
5.32,0.43,2.07,0.0,0.07,0.0,0.0,0.0,0.0,0.05,10400,station,-127.0,17.09,0.0,0.0,20191023.0
5.32,0.44,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,10500,station,-127.0,18.01,0.0,0.0,20191023.0
3.99,0.43,1.9,0.0,0.06,0.0,0.0,0.0,0.0,0.04,10600,station,-127.0,15.7,0.0,0.0,20191023.0
5.32,0.43,1.97,0.0,0.07,0.0,0.0,0.0,0.0,0.04,10700,station,-127.0,16.29,0.0,0.0,20191023.0
2.66,0.43,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,10800,station,-127.0,17.99,315.0,0.0,20191023.0
7.98,0.42,1.99,0.0,0.07,0.0,0.0,0.0,0.0,0.05,10900,station,-127.0,16.46,0.0,0.0,20191023.0
3.99,0.42,2.42,0.0,0.08,0.0,0.0,0.0,0.0,0.05,11000,station,-127.0,20.0,0.0,0.0,20191023.0
5.32,0.43,1.96,0.0,0.07,0.0,0.0,0.0,0.0,0.04,11100,station,-127.0,16.18,315.0,0.0,20191023.0
2.66,0.44,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,11200,station,-127.0,18.01,315.0,0.0,20191023.0
2.66,0.45,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,11300,station,-127.0,16.32,315.0,0.0,20191023.0
2.66,0.44,1.91,0.0,0.06,0.0,0.0,0.0,0.0,0.04,11400,station,-127.0,15.72,315.0,0.0,20191023.0
5.32,0.44,2.19,0.0,0.07,0.0,0.0,0.0,0.0,0.05,11500,station,-127.0,18.06,315.0,0.0,20191023.0
7.98,0.43,2.44,0.0,0.08,0.0,0.0,0.0,0.0,0.06,11600,station,-127.0,20.09,0.0,0.0,20191023.0
2.66,0.43,2.09,0.0,0.07,0.0,0.0,0.0,0.0,0.05,11700,station,-127.0,17.24,0.0,0.0,20191023.0
2.66,0.44,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,11800,station,-127.0,16.36,0.0,0.0,20191023.0
5.32,0.44,2.31,0.0,0.08,0.0,0.0,0.0,0.0,0.05,11900,station,-127.0,19.07,0.0,0.0,20191023.0
2.66,0.45,2.2,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12000,station,-127.0,18.11,315.0,0.0,20191023.0
7.98,0.45,2.14,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12100,station,-127.0,17.69,0.0,0.0,20191023.0
0.0,0.45,2.69,0.0,0.09,0.0,0.0,0.0,0.0,0.06,12200,station,-127.0,22.22,0.0,0.0,20191023.0
0.0,0.45,1.77,0.0,0.06,0.0,0.0,0.0,0.0,0.04,12300,station,-127.0,14.62,315.0,0.0,20191023.0
0.0,0.45,2.05,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12400,station,-127.0,16.88,315.0,0.0,20191023.0
5.32,0.45,2.07,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12500,station,-127.0,17.11,315.0,0.0,20191023.0
0.0,0.45,2.22,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12600,station,-127.0,18.33,315.0,0.0,20191023.0
0.0,0.45,2.22,0.0,0.07,0.0,0.0,0.0,0.0,0.05,12700,station,-127.0,18.33,315.0,0.0,20191023.0
0.0,0.45,2.41,0.0,0.08,0.0,0.0,0.0,0.0,0.05,12800,station,-127.0,19.86,315.0,0.0,20191023.0
2.66,0.44,1.94,0.0,0.06,0.0,0.0,0.0,0.0,0.04,12900,station,-127.0,15.97,0.0,0.0,20191023.0
0.0,0.43,2.36,0.0,0.08,0.0,0.0,0.0,0.0,0.05,13000,station,-127.0,19.44,0.0,0.0,20191023.0
0.0,0.44,2.09,0.0,0.07,0.0,0.0,0.0,0.0,0.05,13100,station,-127.0,17.24,0.0,0.0,20191023.0
5.32,0.45,1.97,0.0,0.07,0.0,0.0,0.0,0.0,0.04,13200,station,-127.0,16.24,315.0,0.0,20191023.0
2.66,0.44,2.07,0.0,0.07,0.0,0.0,0.0,0.0,0.05,13300,station,-127.0,17.09,315.0,0.0,20191023.0
3.99,0.43,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,13400,station,-127.0,16.32,315.0,0.0,20191023.0
2.66,0.44,2.28,0.0,0.08,0.0,0.0,1.17,0.0,0.05,13500,station,-127.0,18.85,315.0,0.0,20191023.0
0.0,0.45,1.81,0.0,0.06,0.0,0.0,0.0,0.0,0.04,13600,station,-127.0,14.91,315.0,0.0,20191023.0
0.0,0.44,2.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,13700,station,-127.0,16.48,315.0,0.0,20191023.0
5.32,0.44,1.75,0.0,0.06,0.0,0.0,0.0,0.0,0.04,13800,station,-127.0,14.44,0.0,0.0,20191023.0
2.66,0.43,1.82,0.0,0.06,0.0,0.0,0.0,0.0,0.04,13900,station,-127.0,15.01,0.0,0.0,20191023.0
2.66,0.42,2.25,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14000,station,-127.0,18.54,0.0,0.0,20191023.0
2.66,0.44,1.98,0.0,0.07,0.0,0.0,0.0,0.0,0.04,14100,station,-127.0,16.37,0.0,0.0,20191023.0
2.66,0.45,2.06,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14200,station,-127.0,16.98,315.0,0.0,20191023.0
0.0,0.47,2.01,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14300,station,-127.0,16.57,315.0,0.0,20191023.0
2.66,0.48,2.31,0.0,0.08,0.0,0.0,0.0,0.0,0.05,14400,station,-127.0,19.05,315.0,0.0,20191023.0
2.66,0.47,2.25,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14500,station,-127.0,18.57,315.0,0.0,20191023.0
2.66,0.47,2.15,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14600,station,-127.0,17.71,315.0,0.0,20191023.0
0.0,0.46,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,14700,station,-127.0,18.01,315.0,0.0,20191023.0
0.0,0.46,2.4,0.0,0.08,0.0,0.0,0.0,0.0,0.05,14800,station,-127.0,19.83,315.0,0.0,20191023.0
0.0,0.45,1.85,0.0,0.06,0.0,0.0,0.0,0.0,0.04,14900,station,-127.0,15.25,315.0,0.0,20191023.0
0.0,0.45,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15000,station,-127.0,14.28,315.0,0.0,20191023.0
1.33,0.45,1.8,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15100,station,-127.0,14.86,315.0,0.0,20191023.0
2.66,0.46,1.83,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15200,station,-127.0,15.14,315.0,0.0,20191023.0
2.66,0.47,1.87,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15300,station,-127.0,15.43,315.0,0.0,20191023.0
1.33,0.45,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,15400,station,-127.0,14.25,315.0,0.0,20191023.0
0.0,0.44,2.02,0.0,0.07,0.0,0.0,0.0,0.0,0.05,15500,station,-127.0,16.71,315.0,0.0,20191023.0
