"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"517",20200204,83700,786.51,1.4,0.05,11.59,0.03,0.43,32.25,270,10.64,0,0,0,0,0
"518",20200204,83800,776.59,1.56,0.05,12.9,0.04,0.45,31.44,270,7.98,0,0,0,0,0
"519",20200204,83900,717.06,1.46,0.05,12.05,0.03,0.44,31.81,135,7.98,0,0,0,0,0
"520",20200204,84000,528.57,1.71,0.06,14.13,0.04,0.43,31.19,0,14.63,0,0,0,0,0
"521",20200204,84100,812.3,1.28,0.04,10.59,0.03,0.43,31,45,14.63,0,0,0,0,0
"522",20200204,84200,381.75,1.31,0.04,10.82,0.03,0.42,31.69,270,5.32,0,0,0,0,0
"523",20200204,84300,728.97,1.43,0.05,11.79,0.03,0.42,31.69,0,9.31,0,0,0,0,0
"524",20200204,84400,232.94,1.22,0.04,10.07,0.03,0.43,29.75,0,7.98,0,0,0,0,0
"525",20200204,84500,848.02,1.5,0.05,12.36,0.03,0.43,30.75,45,9.31,0,0,0,0,0
"526",20200204,84600,848.02,1.53,0.05,12.63,0.03,0.43,32.38,0,7.98,0,0,0,0,0
"527",20200204,84700,209.13,1.29,0.04,10.67,0.03,0.43,30.5,225,7.98,0,0,0,0,0
"528",20200204,84800,848.02,1.75,0.06,14.48,0.04,0.43,30.69,135,10.64,0,0,0,0,0
"529",20200204,84900,832.14,1.93,0.06,15.93,0.04,0.45,32.56,45,10.64,0,0,0,0,0
"530",20200204,85000,806.35,2.05,0.07,16.89,0.05,0.45,33.69,45,11.97,0,0,0,0,0
"531",20200204,85100,834.13,1.53,0.05,12.58,0.03,0.46,32.88,0,11.97,0,0,0,0,0
"532",20200204,85200,395.63,1.57,0.05,12.96,0.04,0.46,31.75,0,14.63,0,0,0,0,0
"533",20200204,85300,828.17,1.54,0.05,12.67,0.03,0.44,31.38,0,10.64,0,0,0,0,0
"534",20200204,85400,810.32,1.4,0.05,11.54,0.03,0.45,31.06,135,6.65,0,0,0,0,0
"535",20200204,85500,820.24,1.35,0.04,11.12,0.03,0.44,31.19,0,17.29,0,0,0,0,0
"536",20200204,85600,848.02,1.62,0.05,13.39,0.04,0.44,31.38,335,6.65,0,0,0,0,0
"537",20200204,85700,863.89,1.19,0.04,9.79,0.03,0.44,31.88,0,7.98,0,0,0,0,0
"538",20200204,85800,840.08,1.56,0.05,12.85,0.04,0.43,32.19,270,7.98,0,0,0,0,0
"539",20200204,85900,778.57,1.37,0.05,11.33,0.03,0.44,32.81,0,2.66,0,0,0,0,0
"540",20200204,90000,635.71,1.31,0.04,10.82,0.03,0.43,31.44,45,17.29,0,0,0,0,0
"541",20200204,90100,824.21,1.59,0.05,13.13,0.04,0.43,31.5,225,9.31,0,0,0,0,0
"542",20200204,90200,820.24,1.73,0.06,14.28,0.04,0.44,32.12,45,10.64,0,0,0,0,0
"543",20200204,90300,814.29,1.87,0.06,15.44,0.04,0.44,32.38,0,13.3,0,0,0,0,0
"544",20200204,90400,824.21,1.65,0.05,13.61,0.04,0.44,31.94,0,9.31,0,0,0,0,0
"545",20200204,90500,828.17,1.56,0.05,12.85,0.04,0.43,32.44,270,10.64,0,0,0,0,0
"546",20200204,90600,828.17,1.27,0.04,10.46,0.03,0.44,31.75,0,9.31,0,0,0,0,0
"547",20200204,90700,828.17,1.47,0.05,12.12,0.03,0.44,32.25,225,6.65,0,0,0,0,0
"548",20200204,90800,832.14,1.14,0.04,9.42,0.03,0.44,31.19,335,5.32,0,0,0,0,0
"549",20200204,90900,840.08,1.47,0.05,12.14,0.03,0.45,31.12,45,9.31,0,0,0,0,0
"550",20200204,91000,848.02,1.1,0.04,9.05,0.02,0.45,32.31,0,6.65,0,0,0,0,0
"551",20200204,91100,842.06,1.09,0.04,9.02,0.02,0.45,31.5,225,13.3,0,0,0,0,0
"552",20200204,91200,850,1.42,0.05,11.72,0.03,0.45,31.75,0,10.64,0,0,0,0,0
"553",20200204,91300,850,1.17,0.04,9.66,0.03,0.44,31.5,0,13.3,0,0,0,0,0
"554",20200204,91400,853.97,1.21,0.04,9.99,0.03,0.44,31.81,45,18.62,0,0,0,0,0
"555",20200204,91500,859.92,1.19,0.04,9.82,0.03,0.44,31,0,21.28,0,0,0,0,0
"556",20200204,91600,752.78,1.23,0.04,10.19,0.03,0.44,31.62,0,10.64,0,0,0,0,0
"557",20200204,91700,738.89,1.2,0.04,9.88,0.03,0.43,31.12,45,17.29,0,0,0,0,0
"558",20200204,91800,899.6,1.57,0.05,12.97,0.04,0.44,31.5,180,6.65,0,0,0,0,0
"559",20200204,91900,917.46,1.49,0.05,12.28,0.03,0.46,31.62,335,19.95,0,0,0,0,0
"560",20200204,92000,953.17,1.28,0.04,10.56,0.03,0.46,32,45,6.65,0,0,0,0,0
"561",20200204,92100,578.17,1.12,0.04,9.24,0.03,0.46,31.06,270,11.97,0,0,0,0,0
"562",20200204,92200,447.22,1.48,0.05,12.24,0.03,0.45,30.19,335,10.64,0,0,0,0,0
"563",20200204,92300,409.52,1.41,0.05,11.67,0.03,0.45,31.06,270,5.32,0,0,0,0,0
"564",20200204,92400,899.6,1.63,0.05,13.49,0.04,0.44,31.62,0,18.62,0,0,0,0,0
"565",20200204,92500,889.68,1.74,0.06,14.39,0.04,0.44,31.69,0,10.64,0,0,0,0,0
"566",20200204,92600,887.7,1.7,0.06,13.99,0.04,0.44,31.38,0,17.29,0,0,0,0,0
"567",20200204,92700,881.75,1.49,0.05,12.28,0.03,0.45,31,0,9.31,0,0,0,0,0
"568",20200204,92800,885.71,1.87,0.06,15.41,0.04,0.46,32.06,270,5.32,0,0,0,0,0
"569",20200204,92900,881.75,1.58,0.05,13.03,0.04,0.46,32.25,0,11.97,0,0,0,0,0
"570",20200204,93000,883.73,1.93,0.06,15.93,0.04,0.46,32,270,13.3,0,0,0,0,0
"571",20200204,93100,885.71,1.61,0.05,13.29,0.04,0.46,31.25,0,9.31,0,0,0,0,0
"572",20200204,93200,887.7,1.33,0.04,10.98,0.03,0.46,31.5,45,15.96,0,0,0,0,0
"573",20200204,93300,895.63,1.7,0.06,14.05,0.04,0.46,32.38,335,7.98,0,0,0,0,0
"574",20200204,93400,895.63,1.45,0.05,11.95,0.03,0.47,32.69,45,13.3,0,0,0,0,0
"575",20200204,93500,907.54,1.25,0.04,10.3,0.03,0.46,32.44,270,7.98,0,0,0,0,0
"576",20200204,93600,693.25,1.63,0.05,13.45,0.04,0.46,32.19,0,9.31,0,0,0,0,0
"577",20200204,93700,919.44,1.58,0.05,13.03,0.04,0.45,32,270,15.96,0,0,0,0,0
"578",20200204,93800,913.49,1.78,0.06,14.68,0.04,0.46,31.75,0,10.64,0,0,0,0,0
"579",20200204,93900,913.49,1.54,0.05,12.72,0.03,0.45,30.69,335,22.61,0,0,0,0,0
"580",20200204,94000,905.56,1.43,0.05,11.78,0.03,0.45,30.69,270,17.29,0,0,0,0,0
"581",20200204,94100,911.51,1.45,0.05,11.97,0.03,0.45,30.69,335,10.64,0,0,0,0,0
"582",20200204,94200,917.46,1.23,0.04,10.16,0.03,0.45,31.44,0,7.98,0,0,0,0,0
"583",20200204,94300,925.4,1.55,0.05,12.81,0.04,0.45,31.25,335,7.98,0,0,0,0,0
"584",20200204,94400,925.4,1.34,0.04,11.06,0.03,0.44,31.38,90,29.26,0,0,0,0,0
"585",20200204,94500,915.48,1.66,0.06,13.67,0.04,0.44,31.38,45,10.64,0,0,0,0,0
"586",20200204,94600,917.46,1.7,0.06,14.03,0.04,0.44,31.25,0,15.96,0,0,0,0,0
"587",20200204,94700,919.44,1.55,0.05,12.8,0.04,0.44,31.75,0,6.65,0,0,0,0,0
"588",20200204,94800,403.57,1.88,0.06,15.52,0.04,0.44,32.38,45,10.64,0,0,0,0,0
"589",20200204,94900,973.02,1.77,0.06,14.61,0.04,0.45,32.44,270,3.99,0,0,0,0,0
"590",20200204,95000,959.13,2.17,0.07,17.92,0.05,0.45,31.81,270,7.98,0,0,0,0,0
"591",20200204,95100,941.27,1.85,0.06,15.23,0.04,0.47,31.31,225,14.63,0,0,0,0,0
"592",20200204,95200,937.3,1.94,0.06,16,0.04,0.48,30.44,270,13.3,0,0,0,0,0
"593",20200204,95300,935.32,1.35,0.04,11.12,0.03,0.48,31.75,180,5.32,0,0,0,0,0
"594",20200204,95400,939.29,1.7,0.06,14.01,0.04,0.49,31.31,335,15.96,0,0,0,0,0
"595",20200204,95500,951.19,1.48,0.05,12.2,0.03,0.49,31.25,335,6.65,0,0,0,0,0
"596",20200204,95600,982.94,1.51,0.05,12.43,0.03,0.49,31.69,45,10.64,0,0,0,0,0
"597",20200204,95700,484.92,1.7,0.06,14.02,0.04,0.49,30.81,45,15.96,0,0,0,0,0
"598",20200204,95800,990.87,1.62,0.05,13.36,0.04,0.48,32.38,180,5.32,0,0,0,0,0
"599",20200204,95900,1006.75,1.59,0.05,13.13,0.04,0.48,32,270,7.98,0,0,0,0,0
"600",20200204,100000,1002.78,1.58,0.05,12.99,0.04,0.47,31.31,270,9.31,0,0,0,0,0
"601",20200204,100100,953.17,1.65,0.05,13.62,0.04,0.47,32.12,0,13.3,0,0,0,0,0
"602",20200204,100200,953.17,1.81,0.06,14.89,0.04,0.46,32.69,335,5.32,0,0,0,0,0
"603",20200204,100300,957.14,1.74,0.06,14.37,0.04,0.46,33.25,0,15.96,0,0,0,0,0
"604",20200204,100400,955.16,1.49,0.05,12.32,0.03,0.45,32.56,270,7.98,0,0,0,0,0
"605",20200204,100500,957.14,1.47,0.05,12.1,0.03,0.45,32.62,45,5.32,0,0,0,0,0
"606",20200204,100600,965.08,2.04,0.07,16.8,0.05,0.44,32.69,90,17.29,0,0,0,0,0
"607",20200204,100700,978.97,1.67,0.06,13.79,0.04,0.43,32.44,45,10.64,0,0,0,0,0
"608",20200204,100800,990.87,1.76,0.06,14.56,0.04,0.44,31.81,45,6.65,0,0,0,0,0
"609",20200204,100900,986.9,1.8,0.06,14.88,0.04,0.44,32.25,335,13.3,0,0,0,0,0
"610",20200204,101000,982.94,1.39,0.05,11.45,0.03,0.43,32.75,45,11.97,0,0,0,0,0
"611",20200204,101100,978.97,2.08,0.07,17.14,0.05,0.43,32.38,335,9.31,0,0,0,0,0
"612",20200204,101200,990.87,1.8,0.06,14.88,0.04,0.44,31.88,270,13.3,0,0,0,0,0
"613",20200204,101300,998.81,1.73,0.06,14.27,0.04,0.44,31.44,335,10.64,0,0,0,0,0
"614",20200204,101400,1008.73,1.8,0.06,14.83,0.04,0.44,32.94,270,5.32,0,0,0,0,0
"615",20200204,101500,1046.43,1.87,0.06,15.45,0.04,0.43,31.88,270,10.64,0,0,0,0,0
"616",20200204,101600,1052.38,1.92,0.06,15.86,0.04,0.42,31.81,225,6.65,0,0,0,0,0
"617",20200204,101700,1036.51,1.8,0.06,14.89,0.04,0.43,32,180,5.32,0,0,0,0,0
"618",20200204,101800,1042.46,1.64,0.05,13.52,0.04,0.43,32.19,45,7.98,0,0,0,0,0
"619",20200204,101900,1040.48,1.61,0.05,13.3,0.04,0.43,32.81,270,10.64,0,0,0,0,0
"620",20200204,102000,1032.54,1.45,0.05,11.99,0.03,0.44,31.56,0,27.93,0,0,0,0,0
"621",20200204,102100,1024.6,1.67,0.06,13.81,0.04,0.44,31.12,225,21.28,0,0,0,0,0
"622",20200204,102200,1010.71,1.56,0.05,12.88,0.04,0.44,31.31,225,10.64,0,0,0,0,0
"623",20200204,102300,1022.62,1.72,0.06,14.19,0.04,0.45,31.44,225,10.64,0,0,0,0,0
"624",20200204,102400,1028.57,1.64,0.05,13.56,0.04,0.46,31.81,335,15.96,0,0,0,0,0
"625",20200204,102500,1048.41,1.86,0.06,15.32,0.04,0.45,32.06,270,11.97,0,0,0,0,0
"626",20200204,102600,1056.35,1.61,0.05,13.26,0.04,0.43,31,225,15.96,0,0,0,0,0
"627",20200204,102700,1064.29,1.43,0.05,11.78,0.03,0.44,31.5,225,13.3,0,0,0,0,0
"628",20200204,102800,1080.16,1.63,0.05,13.42,0.04,0.45,31.62,270,15.96,0,0,0,0,0
