"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1252",20200202,205300,0,2.97,0.1,0,0,24.48,0.07,0,0,0.49,24.25,270,0,0
"1253",20200202,205400,0,2.56,0.09,0,0,21.11,0.06,0,0,0.48,24.25,270,0,0
"1254",20200202,205500,0,2.97,0.1,0,0,24.54,0.07,0,0,0.47,24.12,270,0,0
"1255",20200202,205600,0,3.07,0.1,0,0,25.35,0.07,0,0,0.47,24.31,270,0,0
"1256",20200202,205700,0,3.28,0.11,0,0,27.07,0.07,0,0,0.49,24.25,270,0,0
"1257",20200202,205800,0,2.96,0.1,0,0,24.45,0.07,0,0,0.48,24.31,270,0,0
"1258",20200202,205900,0,3.15,0.1,0,0,26,0.07,0,0,0.48,24.25,270,0,0
"1259",20200202,210000,0,2.85,0.09,0,0,23.49,0.06,0,0,0.51,24.19,270,0,0
"1260",20200202,210100,0,2.98,0.1,0,0,24.61,0.07,0,0,0.49,24.12,270,0,0
"1261",20200202,210200,0,3.24,0.11,0,0,26.7,0.07,0,0,0.48,24.06,270,0,0
"1262",20200202,210300,0,2.55,0.08,0,0,21.04,0.06,0,0,0.46,23.94,270,0,0
"1263",20200202,210400,0,2.89,0.1,0,0,23.83,0.07,0,0,0.48,24,270,0,0
"1264",20200202,210500,0,2.91,0.1,0,0,24.02,0.07,0,0,0.49,24,270,0,0
"1265",20200202,210600,0,2.65,0.09,0,0,21.86,0.06,0,0,0.49,24.06,270,0,0
"1266",20200202,210700,0,2.9,0.1,0,0,23.91,0.07,0,0,0.48,24,270,0,0
"1267",20200202,210800,0,2.77,0.09,0,0,22.84,0.06,0,0,0.48,24,270,0,0
"1268",20200202,210900,0,2.9,0.1,0,0,23.89,0.07,0,0,0.48,24,270,0,0
"1269",20200202,211000,0,2.81,0.09,0,0,23.2,0.06,0,0,0.48,24.12,270,0,0
"1270",20200202,211100,0,2.65,0.09,0,0,21.86,0.06,0,0,0.5,24.06,270,0,0
"1271",20200202,211200,0,2.86,0.1,0,0,23.56,0.06,0,0,0.49,24.06,270,0,0
"1272",20200202,211300,0,2.81,0.09,0,0,23.19,0.06,0,0,0.48,24.25,270,0,0
"1273",20200202,211400,0,2.8,0.09,0,0,23.12,0.06,0,0,0.48,24.19,270,0,0
"1274",20200202,211500,0,3.08,0.1,0,0,25.4,0.07,0,0,0.49,24.12,270,0,0
"1275",20200202,211600,0,3.16,0.11,0,0,26.07,0.07,0,0,0.49,24.06,270,0,0
"1276",20200202,211700,0,3.23,0.11,0,0,26.62,0.07,0,0,0.48,24.06,270,0,0
"1277",20200202,211800,0,3.62,0.12,0,0,29.86,0.08,0,0,0.5,24.06,270,0,0
"1278",20200202,211900,0,3.4,0.11,0,0,28.02,0.08,0,0,0.5,24.06,270,0,0
"1279",20200202,212000,0,3.56,0.12,0,0,29.36,0.08,0,0,0.49,24.12,270,0,0
"1280",20200202,212100,0,3.8,0.13,0,0,31.34,0.09,0,0,0.5,24.12,270,0,0
"1281",20200202,212200,0,3.68,0.12,0,0,30.35,0.08,0,0,0.49,24.12,270,0,0
"1282",20200202,212300,0,4.03,0.13,0,0,33.26,0.09,0,0,0.47,24.19,270,0,0
"1283",20200202,212400,0,4.26,0.14,0,0,35.15,0.1,0,0,0.47,24.12,270,0,0
"1284",20200202,212500,0,4.05,0.13,0,0,33.38,0.09,0,0,0.47,24,270,0,0
"1285",20200202,212600,0,3.76,0.13,0,0,31.05,0.09,0,0,0.46,24.19,270,0,0
"1286",20200202,212700,0,3.63,0.12,0,0,29.91,0.08,0,0,0.45,24,270,0,0
"1287",20200202,212800,0,3.67,0.12,0,0,30.29,0.08,0,0,0.44,24.19,270,0,0
"1288",20200202,212900,0,3.23,0.11,0,0,26.64,0.07,0,0,0.45,24.31,270,0,0
"1289",20200202,213000,0,3.59,0.12,0,0,29.59,0.08,0,0,0.46,24.25,270,0,0
"1290",20200202,213100,0,3.37,0.11,0,0,27.84,0.08,0,0,0.48,24.19,270,0,0
"1291",20200202,213200,0,2.96,0.1,0,0,24.4,0.07,0,0,0.47,24.25,270,0,0
"1292",20200202,213300,0,3.13,0.1,0,0,25.8,0.07,0,0,0.46,24.12,270,0,0
"1293",20200202,213400,0,2.95,0.1,0,0,24.31,0.07,0,0,0.46,24.31,270,0,0
"1294",20200202,213500,0,3.28,0.11,0,0,27.08,0.07,0,0,0.47,24.38,270,0,0
"1295",20200202,213600,0,2.65,0.09,0,0,21.83,0.06,0,0,0.45,24.44,270,0,0
"1296",20200202,213700,0,2.42,0.08,0,0,19.93,0.05,0,0,0.44,24.5,270,0,0
"1297",20200202,213800,0,2.49,0.08,0,0,20.58,0.06,0,0,0.45,24.56,270,0,0
"1298",20200202,213900,0,2.32,0.08,0,0,19.18,0.05,0,0,0.45,24.5,270,0,0
"1299",20200202,214000,0,2.4,0.08,0,0,19.83,0.05,0,0,0.46,24.81,270,0,0
"1300",20200202,214100,0,2.6,0.09,0,0,21.47,0.06,0,0,0.46,24.94,270,0,0
"1301",20200202,214200,0,2.52,0.08,0,0,20.83,0.06,0,0,0.48,24.94,270,0,0
"1302",20200202,214300,0,2.13,0.07,0,0,17.54,0.05,0,0,0.47,25.06,270,2.66,0
"1303",20200202,214400,0,2.23,0.07,0,0,18.38,0.05,0,0,0.45,25.06,270,2.66,0
"1304",20200202,214500,0,2.53,0.08,0,0,20.91,0.06,0,0,0.46,24.69,270,0,0
"1305",20200202,214600,0,2.51,0.08,0,0,20.74,0.06,0,0,0.46,24.81,270,0,0
"1306",20200202,214700,0,2.68,0.09,0,0,22.11,0.06,0,0,0.45,24.75,270,0,0
"1307",20200202,214800,0,2.45,0.08,0,0,20.17,0.06,0,0,0.45,24.69,270,0,0
"1308",20200202,214900,0,2.44,0.08,0,0,20.17,0.06,0,0,0.45,24.94,270,0,0
"1309",20200202,215000,0,2.42,0.08,0,0,19.93,0.05,0,0,0.47,24.75,270,0,0
"1310",20200202,215100,0,2.17,0.07,0,0,17.93,0.05,0,0,0.46,24.81,270,0,0
