dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20200303,192900,0,3.25,26.84,0.11,0.07,0.48,25.09,5.32,162,0,0,0.1,214.2,0,40.04,0,0,0,0,0,0
20200303,193900,0,2.92,24.08,0.1,0.07,0.5,24.73,3.06,175.5,0,0,0.1,214.2,0,40.17,0,0,0,0,0,0
20200303,194900,0,2.3,18.96,0.08,0.05,0.48,24.64,5.45,166.5,0,0,0.1,214.2,0,40.33,0,0,0,0,0,0
20200303,195900,0,2.66,21.96,0.09,0.06,0.48,24.3,6.52,162,0,0,0.1,214.2,0,40.83,0,0,0,0,0,0
20200303,200900,0,3.25,26.8,0.11,0.07,0.47,24.17,7.32,148.5,0,0,0.1,214.2,0,40.23,0,0,0,0,0,0
20200303,201900,0,3.99,32.91,0.13,0.09,0.48,23.67,10.77,121.5,0,0,0.1,214.2,0,39.74,0,0,0,0,0,0
20200303,202900,0,3.1,25.6,0.1,0.07,0.47,23.69,11.17,130.5,0,0,0.1,214.2,0,39.58,0,0,0,0,0,0
20200303,203900,0,3.11,25.67,0.1,0.07,0.45,23.5,11.44,126,0,0,0.1,214.2,0,40.63,0,0,0,0,0,0
20200303,204900,0,3.3,27.23,0.11,0.07,0.47,23.25,11.3,117,0,0,0.1,214.2,0,40.3,0,0,0,0,0,0
20200303,205900,0,2.56,21.16,0.09,0.06,0.48,22.96,13.3,121.5,0,0,0.1,214.2,0,39.43,0,0,0,0,0,0
20200303,210900,0,2,16.53,0.07,0.04,0.5,22.79,13.17,117,0,0,0.1,214.2,0,39.5,0,0,0,0,0,0
20200303,211900,0,2.32,19.14,0.08,0.05,0.5,22.69,13.17,135,0,0,0.1,214.2,0,40.41,0,0,0,0,0,0
20200303,212900,0,1.97,16.22,0.07,0.04,0.5,22.52,10.64,130.5,0,0,0.1,214.2,0,40.51,0,0,0,0,0,0
20200303,213900,0,1.94,15.99,0.06,0.04,0.5,22.28,9.58,130.5,0,0,0.1,214.2,0,40,0,0,0,0,0,0
20200303,214900,0,1.63,13.47,0.05,0.04,0.48,22.45,12.9,135,0,0,0.1,214.2,0,39.94,0,0,0,0,0,0
20200303,215900,0,1.59,13.12,0.05,0.04,0.47,22.16,18.35,121.5,0,0,0.1,214.2,0,40.7,0,0,0,0,0,0
20200303,220900,0,1.43,11.75,0.05,0.03,0.5,22.25,12.5,119.25,0,0,0.1,214.2,0,40.19,0,0,0,0,0,0
20200303,221900,0,1.54,12.73,0.05,0.04,0.5,22.04,13.03,130.5,0,0,0.1,214.2,0,39.9,0,0,0,0,0,0
20200303,222900,0,1.36,11.2,0.04,0.03,0.48,21.96,10.64,162,0,0,0.1,214.2,0,39.84,0,0,0,0,0,0
20200303,223900,0,1.39,11.44,0.05,0.03,0.46,21.99,15.16,130.5,0,0,0.1,214.2,0,41.12,0,0,0,0,0,0
20200303,224900,0,1.46,12.08,0.05,0.03,0.46,21.79,14.76,130.5,0,0,0.1,214.2,0,41.09,0,0,0,0,0,0
20200303,225900,0,1.46,12.01,0.05,0.03,0.46,21.64,11.57,112.5,0,0,0.1,214.2,0,40.56,0,0,0,0,0,0
20200303,230900,0,1.46,12.01,0.05,0.03,0.48,21.67,10.91,139.5,0,0,0.1,214.2,0,40.44,0,0,0,0,0,0
20200303,231900,0,1.37,11.3,0.04,0.03,0.47,21.76,12.77,126,0,0,0.1,214.2,0,40.35,0,0,0,0,0,0
20200303,232900,0,1.59,13.11,0.05,0.04,0.46,21.49,15.83,108,0,0,0.1,214.2,0,40.32,0,0,0,0,0,0
20200303,233900,0,1.45,12,0.05,0.03,0.49,21.36,15.03,108,0,0,0.1,214.2,0,39.7,0,0,0,0,0,0
20200303,234900,0,1.27,10.45,0.04,0.03,0.49,21.26,13.83,135,0,0,0.1,214.2,0,40.29,0,0,0,0,0,0
20200303,235900,0,1.32,10.88,0.04,0.03,0.48,20.96,11.97,135,0,0,0.1,214.2,0,41.15,0,0,0,0,0,0
